dcid,year,climateFinanceProvidedDisbursementsAdaptationOtherOfficialFlowsCurrentUSD
Earth,2013,117232172.81130591
Earth,2014,56004795.85365512
Earth,2015,310984690.6727966
Earth,2016,637823108.1012487
Earth,2017,138364591.45409125
Earth,2018,1358760117.92889
Earth,2019,1716167603.2879605
Earth,2020,3079612293.7578883
Earth,2021,3146862254.3884964
country/AUT,2019,7997313.2
country/FIN,2019,11410723.200000001
country/FIN,2020,8279202.4
country/FIN,2021,9631977.2
country/FRA,2020,9517066.0
country/FRA,2021,10217220.0
country/NOR,2018,3980.0
country/ESP,2019,33583.200000000004
country/GBR,2019,306278.80000000005
country/GBR,2020,5839085.6
country/GBR,2021,1559215.0
country/USA,2021,2000000.0
