dcid,year,interestPaymentsPPGCurrentUSD
country/AFG,2012,8300000.0
country/AFG,2021,5180000.0
country/AFG,2023,31968488.1
country/AFG,2024,28990074.9
country/AFG,2027,18787155.1
country/AFG,2009,6530000.0
country/AFG,2010,7709000.0
country/AFG,2011,8885904.9
country/AFG,2018,7972540.1
country/AFG,2019,7491406.7
country/AFG,2020,7067844.6
country/AFG,2025,25886693.6
country/AFG,2026,21945901.5
country/AFG,2006,5766252.2
country/AFG,2008,5996000.0
country/AFG,2015,8728365.3
country/AFG,2016,7522589.8
country/AFG,2028,15636473.8
country/AFG,2007,3242050.9
country/AFG,2013,7525164.0
country/AFG,2014,9145959.4
country/AFG,2017,8067536.5
country/AFG,2022,34822796.1
country/ALB,1994,9114645.2
country/ALB,1995,4538144.3
country/ALB,2002,17256879.3
country/ALB,2004,20090728.8
country/ALB,2008,43941564.9
country/ALB,2009,71424823.1
country/ALB,2010,66206728.0
country/ALB,2011,105463680.9
country/ALB,2014,79285116.9
country/ALB,2026,77923356.8
country/ALB,1991,2764725.8
country/ALB,2000,7365455.7
country/ALB,2001,9630489.3
country/ALB,2003,15057717.2
country/ALB,2015,89628379.4
country/ALB,2018,119235762.4
country/ALB,2019,95411761.9
country/ALB,1992,1917988.2
country/ALB,1993,2098562.7
country/ALB,1999,5569193.3
country/ALB,2005,23156050.1
country/ALB,2006,24755909.3
country/ALB,2007,31034449.9
country/ALB,2012,101152658.9
country/ALB,2017,83453339.3
country/ALB,2021,102366272.6
country/ALB,2022,110098205.9
country/ALB,2024,108785089.6
country/ALB,2025,103130347.9
country/ALB,2027,74351708.2
country/ALB,2028,49487689.7
country/ALB,1996,5416947.4
country/ALB,1997,5704988.2
country/ALB,1998,6263942.9
country/ALB,2013,71607329.4
country/ALB,2016,83616853.7
country/ALB,2020,96216963.5
country/ALB,2023,112180496.4
country/DZA,1970,10144602.6
country/DZA,1973,68726578.4
country/DZA,1974,219532463.8
country/DZA,1978,613847241.1
country/DZA,1979,1252655047.9
country/DZA,1981,1360847127.6
country/DZA,1984,1375675872.2
country/DZA,1989,1740914570.7
country/DZA,1991,1789077984.7
country/DZA,2001,1333200781.6
country/DZA,2002,1163984156.4
country/DZA,2010,64380066.5
country/DZA,2013,37694529.2
country/DZA,2025,7070393.4
country/DZA,2026,6310190.1
country/DZA,1971,16491809.8
country/DZA,1975,216803065.4
country/DZA,1977,416604036.8
country/DZA,1980,1439582075.6
country/DZA,1983,1274825605.2
country/DZA,1985,1397783429.6
country/DZA,1987,1570946487.0
country/DZA,1993,1707291364.2
country/DZA,1994,1499278722.3
country/DZA,1995,1740614898.8
country/DZA,1996,2021328269.5
country/DZA,1998,1878656722.4
country/DZA,1999,1722092302.3
country/DZA,2000,1552080350.5
country/DZA,2006,557652740.6
country/DZA,2011,57704642.5
country/DZA,2016,17084163.1
country/DZA,2017,26504122.1
country/DZA,2020,22002901.9
country/DZA,2024,8235248.5
country/DZA,2028,4925441.5
country/DZA,1972,51621988.3
country/DZA,1976,347506521.5
country/DZA,1986,1556191428.9
country/DZA,1988,1686520737.8
country/DZA,2003,1055152627.6
country/DZA,2004,984786576.6
