dcid,year,climateFinanceReceivedDisbursementsCurrentUSD
Earth,2013,12909966630.126389
Earth,2014,12556871770.332829
Earth,2015,15004665226.810743
Earth,2016,19614067248.82667
Earth,2017,20055660954.682182
Earth,2018,26563637883.824936
Earth,2019,30026432819.384686
Earth,2020,33400231865.478935
Earth,2021,36173160445.04575
country/AFG,2013,156168906.2
country/AFG,2014,95997902.2
country/AFG,2015,132864923.2
country/AFG,2016,134009188.4
country/AFG,2017,133541240.126
country/AFG,2018,118228857.4368
country/AFG,2019,139144347.5857
country/AFG,2020,134350044.3071
country/AFG,2021,105035237.4291
country/ALB,2013,16730303.200000001
country/ALB,2014,18131110.4
country/ALB,2015,40096327.21
country/ALB,2016,26590759.95
country/ALB,2017,20700175.4
country/ALB,2018,85560128.21124631
country/ALB,2019,36969066.3192
country/ALB,2020,162798763.31881902
country/ALB,2021,120594128.41713133
country/DZA,2013,11353855.600000001
country/DZA,2014,5459425.6
country/DZA,2015,4670191.8
country/DZA,2016,6802330.5017386
country/DZA,2017,10714962.8
country/DZA,2018,9394886.341444258
country/DZA,2019,12617035.141535765
country/DZA,2020,10108479.4
country/DZA,2021,13530338.264663719
country/AGO,2013,3501480.2
country/AGO,2014,3540472.2
country/AGO,2015,80113252.6
country/AGO,2016,7767765.2
country/AGO,2017,2181354.2
country/AGO,2018,5238680.642316719
country/AGO,2019,80255640.54661602
country/AGO,2020,14808610.312772691
country/AGO,2021,147317983.04006368
country/ATG,2013,138746.8
country/ATG,2014,97600.0
country/ATG,2015,96672.8
country/ATG,2016,3520268.2
country/ATG,2017,2329874.8
country/ATG,2018,2783548.0
country/ATG,2019,11517834.4
country/ATG,2020,3498556.64
country/ATG,2021,1751891.34
country/ARG,2013,5367349.2
country/ARG,2014,14263800.403900001
country/ARG,2015,3954471.98
country/ARG,2016,70122638.8
country/ARG,2017,54273762.3
country/ARG,2018,242974083.22840002
country/ARG,2019,269073498.5186
country/ARG,2020,277486446.05579996
country/ARG,2021,270363951.2005
country/ARM,2013,18953717.330000002
country/ARM,2014,18400744.52
country/ARM,2015,23159107.1
country/ARM,2016,63420993.362796776
country/ARM,2017,124760283.18481909
country/ARM,2018,95176628.74661632
country/ARM,2019,76589321.137582
country/ARM,2020,68319424.61250517
country/ARM,2021,91107238.97329469
country/AZE,2013,9859989.4
country/AZE,2014,24060503.8
country/AZE,2015,9059153.0
country/AZE,2016,36580512.77019772
country/AZE,2017,85876658.61045621
country/AZE,2018,80604577.02474447
country/AZE,2019,84939908.208
country/AZE,2020,56011920.6
country/AZE,2021,82889631.03
country/BGD,2013,382476677.8
country/BGD,2014,370790362.8548665
country/BGD,2015,457530406.145331
country/BGD,2016,602511927.831964
country/BGD,2017,994307772.673566
country/BGD,2018,962403421.0817217
country/BGD,2019,1336114686.1253948
country/BGD,2020,1178228412.5465999
country/BGD,2021,1405900889.0504296
country/BLR,2013,1273888.4000000001
country/BLR,2014,2204172.0
country/BLR,2015,9748266.4
country/BLR,2016,70835323.24784838
country/BLR,2017,16706803.494209077
country/BLR,2018,62867756.89018377
country/BLR,2019,29459286.5462
country/BLR,2020,27411661.109086387
country/BLR,2021,34248912.77759531
country/BLZ,2013,345645.0
country/BLZ,2014,3451328.0
country/BLZ,2015,982846.0
country/BLZ,2016,4779142.0
country/BLZ,2017,2412594.36
country/BLZ,2018,6574669.08
country/BLZ,2019,5965013.0
country/BLZ,2020,20658947.7624
country/BLZ,2021,19324132.0392
country/BEN,2013,25570168.8
country/BEN,2014,41500564.0
country/BEN,2015,22356681.1690495
country/BEN,2016,30832779.969918374
country/BEN,2017,53609777.28
country/BEN,2018,69542216.34969632
country/BEN,2019,72565731.49065243
country/BEN,2020,144990774.40337837
country/BEN,2021,112136523.6417512
country/BTN,2013,22133932.6
country/BTN,2014,9938338.0
country/BTN,2015,13018953.654746836
country/BTN,2016,15148314.193822784
country/BTN,2017,4523945.803322785
country/BTN,2018,13160212.996891145
country/BTN,2019,33645139.9619215
country/BTN,2020,39280292.511172116
country/BTN,2021,21881492.511879753
country/BOL,2013,46872077.2
country/BOL,2014,58752945.2
country/BOL,2015,227562410.0
country/BOL,2016,202047593.7
country/BOL,2017,337400142.54
country/BOL,2018,220365069.974
country/BOL,2019,348534801.5327
country/BOL,2020,178740435.6556
country/BOL,2021,112376000.5618
country/BIH,2013,15730278.8
country/BIH,2014,15422565.8
country/BIH,2015,33786118.4
country/BIH,2016,71361651.55775462
country/BIH,2017,88272189.56711294
country/BIH,2018,79415413.80124113
country/BIH,2019,69170612.55448987
country/BIH,2020,135369219.99946508
country/BIH,2021,158580724.73978218
country/BWA,2013,2539889.6
country/BWA,2014,1940146.2
country/BWA,2015,1040659.8
country/BWA,2016,2401930.5999999996
country/BWA,2017,1351175.5999999999
country/BWA,2018,5148061.0
country/BWA,2019,492943.60000000003
country/BWA,2020,19862642.36857861
country/BWA,2021,153419453.5791577
country/BRA,2013,1043091540.4
country/BRA,2014,883291965.54
country/BRA,2015,412390983.7
country/BRA,2016,387772975.34999996
country/BRA,2017,697414361.6525915
country/BRA,2018,537841502.8143
country/BRA,2019,392054680.25
country/BRA,2020,335816354.388
country/BRA,2021,858900559.222804
country/BFA,2013,49079450.6
country/BFA,2014,37971967.940000005
country/BFA,2015,34585004.9
country/BFA,2016,54970252.85219462
country/BFA,2017,99536229.96000001
country/BFA,2018,99840118.77298014
country/BFA,2019,124148536.57219246
country/BFA,2020,208505069.65682852
country/BFA,2021,201863584.3843904
country/BDI,2013,30037924.400000002
country/BDI,2014,33231082.200000003
country/BDI,2015,16616776.200000001
country/BDI,2016,30182169.610000003
country/BDI,2017,21904106.525486726
