dcid,year,debtOutstandingAndDisbursedCurrentUSD
country/AFG,2006,920022562.7
country/AFG,2008,1994506003.0
country/AFG,2010,1975547213.6
country/AFG,2014,2020951888.7
country/AFG,2016,1964505964.6
country/AFG,2017,1997566648.7
country/AFG,2020,1976197755.2
country/AFG,2009,2106108788.4
country/AFG,2011,2032464249.9
country/AFG,2013,2106231492.2
country/AFG,2015,2008954793.3
country/AFG,2018,1970427923.6
country/AFG,2012,2079786013.4
country/AFG,2019,1964900688.1
country/AFG,2007,1902610499.2
country/AFG,2021,1925714305.2
country/ALB,1992,126853823.7
country/ALB,1993,178987293.2
country/ALB,1995,332006725.9
country/ALB,1996,406192837.9
country/ALB,1997,413719706.2
country/ALB,2001,982052069.1
country/ALB,2005,1812885320.1
country/ALB,2010,4564030111.3
country/ALB,2013,6964745648.1
country/ALB,1991,86200133.1
country/ALB,1998,524241511.2
country/ALB,2007,2292458695.4
country/ALB,2008,2955218087.3
country/ALB,2012,5807545788.0
country/ALB,2014,6613582486.8
country/ALB,2018,7276818163.3
country/ALB,1994,247576173.3
country/ALB,2000,936960202.7
country/ALB,2002,1007162253.8
country/ALB,2004,1433417801.2
country/ALB,2006,1968166789.9
country/ALB,2016,6482321782.1
country/ALB,2017,7420920394.0
country/ALB,2021,9395109912.6
country/ALB,1999,599745362.1
country/ALB,2003,1241533684.1
country/ALB,2009,3780315234.3
country/ALB,2011,5275163003.3
country/ALB,2015,6617177189.6
country/ALB,2019,8219621469.3
country/ALB,2020,9180464664.3
country/DZA,1972,1549785827.5
country/DZA,1974,3365980296.4
country/DZA,1977,8912959726.9
country/DZA,1979,16572548616.7
country/DZA,1990,26692900053.7
country/DZA,1993,25102041792.8
country/DZA,1994,28444024246.1
country/DZA,1997,28716820456.3
country/DZA,2001,20869481309.5
country/DZA,2003,22445261998.2
country/DZA,2009,4043450020.8
country/DZA,2012,2469179779.9
country/DZA,2013,2072402858.1
country/DZA,2020,1668630001.5
country/DZA,1973,2991368810.9
country/DZA,1986,19497646536.7
country/DZA,1989,24789965821.9
country/DZA,1991,26255512108.9
country/DZA,1992,25762303665.8
country/DZA,1999,25925520612.0
country/DZA,2000,23353958638.9
country/DZA,2010,3629509109.6
country/DZA,2011,3072563628.2
country/DZA,2014,1810322499.0
country/DZA,2015,1187954740.2
country/DZA,2021,1476065634.9
