dcid,year,climateFinanceReceivedDisbursementsMitigationOtherOfficialFlowsCurrentUSD
country/IRQ,2019,5503213.0
country/IRQ,2020,11488852.2625
country/IRQ,2021,19745513.094499998
country/JAM,2017,10639200.0
country/JAM,2018,1760134.5299999998
country/JAM,2019,121219.32
country/JAM,2020,303627.31
country/JAM,2021,9374027.24
country/JOR,2015,93750000.0
country/JOR,2016,145673878.56276882
country/JOR,2017,73678318.01736942
country/JOR,2018,66164015.95949687
country/JOR,2019,131773677.0
country/JOR,2020,10284699.717174772
country/JOR,2021,16783154.199502256
country/KAZ,2016,47177132.034614995
country/KAZ,2017,154292651.33550587
country/KAZ,2018,32908573.061718497
country/KAZ,2019,55030328.931568116
country/KAZ,2020,12069618.975657383
country/KEN,2018,31269830.974172167
country/KEN,2019,28713464.2
country/KEN,2020,83374240.27688399
country/KEN,2021,90107245.24266379
country/XKX,2016,5118483.774275147
country/XKX,2017,8104097.702118858
country/XKX,2018,12021716.159183275
country/XKX,2020,317251.99908294284
country/XKX,2021,5933271.982849125
country/KGZ,2016,5497462.70419109
country/KGZ,2017,9524661.99534942
country/KGZ,2018,6497578.780964445
country/KGZ,2020,517454.98232374934
country/KGZ,2021,654631.9491705054
country/LAO,2018,294591.0
country/LAO,2019,2094719.6
country/LAO,2020,5267430.4
country/LAO,2021,1999934.2000000002
country/LBN,2018,76033754.2782958
country/LBN,2019,30004768.032998852
country/LBN,2020,1972591.5796220445
country/LBN,2021,331241.0
country/LSO,2021,12786.0
country/LBR,2021,1078689.3546
country/MDG,2019,801184.0
country/MDG,2020,1575364.0
country/MWI,2021,6288434.0
country/MYS,2020,1546139.2000000002
country/MUS,2019,653931.0
country/MUS,2020,472739.0
country/MUS,2021,52986.0
country/MEX,2013,70000000.0
country/MEX,2014,50000000.0
country/MEX,2016,250000.0
country/MEX,2017,9836518.0
country/MEX,2018,341142787.41999996
country/MEX,2019,10816042.48
country/MEX,2020,294039549.78000003
country/MEX,2021,374623074.36
country/FSM,2014,289894.40481796005
country/FSM,2015,24968.787266604864
country/FSM,2016,2004220.5856870771
country/FSM,2017,1384821.446747527
country/FSM,2018,273542.8821697527
country/FSM,2019,139668.49173713068
country/MDA,2015,2026212.0
country/MDA,2016,12836043.0
country/MDA,2017,2326988.9515563203
country/MDA,2018,1934601.0
country/MDA,2019,4507628.0
country/MDA,2020,19036032.728998877
country/MDA,2021,342041.39999999997
country/MNG,2015,3394.348
country/MNG,2016,14604037.677110735
country/MNG,2017,29875498.03463285
country/MNG,2018,32152796.2139738
country/MNG,2019,46980509.0
country/MNG,2020,10589116.3939
country/MNG,2021,6550043.1639
country/MNE,2016,1181639.57887731
country/MNE,2017,32054054.378373824
country/MNE,2018,4179021.2782178503
country/MNE,2019,1235843.393647423
country/MNE,2020,19352884.182248615
country/MNE,2021,2824454.3702707
country/MAR,2013,153137807.75
country/MAR,2015,17197026.0
country/MAR,2016,138264101.84448424
country/MAR,2017,29583214.013472427
country/MAR,2018,115661427.320888
country/MAR,2019,95396748.50860238
country/MAR,2020,52061042.16274524
country/MAR,2021,83679380.46907668
country/MOZ,2018,824156.0
country/MOZ,2019,10506.0
country/MOZ,2020,76006.0
country/MOZ,2021,8658080.8
country/MMR,2018,2155426.0
country/MMR,2019,1535173.0
country/MMR,2020,2742344.5
country/NAM,2018,21932838.548934203
country/NAM,2020,17476652.315613724
country/NPL,2020,794930.9600000001
country/NPL,2021,229972.0
country/NIC,2018,6209373.600000001
country/NER,2021,39710.159999999996
country/NGA,2019,11059803.541209716
country/NGA,2020,16877694.828027766
country/NGA,2021,68788986.9306
country/MKD,2017,3716785.4270935035
country/MKD,2018,35234.516800000005
country/MKD,2019,22355666.7992
country/MKD,2020,687179.1232
country/MKD,2021,3124541.819864237
country/PAK,2015,10217606.05
country/PAK,2016,155233.0419095238
country/PAK,2017,100301657.0920238
country/PAK,2018,47284331.74124715
country/PAK,2019,51189414.25588416
country/PAK,2020,97543495.86746414
country/PAK,2021,377334251.786552
country/PAN,2014,363882.75
country/PAN,2017,50100000.0
country/PAN,2018,23633508.0
country/PAN,2019,164946.0
country/PAN,2020,386227207.365
country/PAN,2021,1664199.5175
country/PNG,2014,421862.73694390716
country/PNG,2015,195079.65183752417
country/PNG,2016,310675.92843326885
country/PNG,2017,646018.1760154739
country/PNG,2018,12393044.255319148
country/PNG,2019,4313498.647969052
country/PNG,2020,16824123.78723404
country/PNG,2021,10936091.520309478
country/PRY,2019,53640.46200000001
country/PRY,2020,79129783.426
country/PRY,2021,3744240.71
country/PER,2013,19300000.0
country/PER,2014,625000.0
country/PER,2016,40028000.0
country/PER,2018,590786.8
country/PER,2019,790459.7228
country/PER,2020,17010354.4864
country/PER,2021,243333374.3224478
country/PHL,2014,980672.4367000004
country/PHL,2015,29163800.424490184
country/PHL,2016,27250117.980546456
country/PHL,2018,58049723.48490254
country/PHL,2019,148392652.91240266
country/PHL,2020,372851039.64006484
country/PHL,2021,160224748.25084567
country/RWA,2018,26983.0
country/RWA,2019,934924.3512256009
country/RWA,2020,268114.0
country/RWA,2021,2999379.0
country/WSM,2017,2000000.0
country/SEN,2017,10941048.512160365
country/SEN,2018,31724453.23526759
country/SEN,2019,62529954.919144586
country/SEN,2020,31515284.32823984
country/SEN,2021,11633551.835883481
country/SRB,2016,57630249.33863119
country/SRB,2017,36390124.78755119
country/SRB,2018,52505959.24332318
country/SRB,2019,67007043.011700004
country/SRB,2020,37298065.81314373
country/SRB,2021,73318826.74071862
country/SLE,2019,427842.0
country/SLE,2021,130802.0
country/ZAF,2018,2710182.0
country/ZAF,2019,4507006.0
country/ZAF,2020,31762908.383963495
country/ZAF,2021,64221784.650937945
country/LKA,2015,25320.39721689891
country/LKA,2016,2580488.147608502
country/LKA,2017,5583217.034699341
country/LKA,2018,23670240.930302322
country/LKA,2019,45493091.58514646
country/LKA,2020,105180044.73875709
country/LKA,2021,83024217.53426808
country/SUR,2013,2500000.0
country/SUR,2014,417670.24
country/SUR,2016,7700000.0
country/SUR,2017,37875.66
country/SUR,2019,38388.8
country/SUR,2020,356993.22959999996
country/SUR,2021,110836.4
country/TJK,2017,3706984.849812767
country/TJK,2018,11410757.737574637
country/TJK,2019,464628.0735649829
country/TJK,2020,21619539.76164183
country/TJK,2021,1977599.7932818509
country/TZA,2016,425045.0972685237
country/TZA,2017,560907.79157464
country/TZA,2018,5285847.933766998
country/TZA,2019,21893831.97847435
country/TZA,2020,31429403.40277533
country/TZA,2021,54252260.878595516
country/THA,2018,170789070.0
country/THA,2019,111981561.80904976
country/THA,2020,171308550.58441615
country/THA,2021,215616922.06001642
country/TUN,2017,120725.20999999999
country/TUN,2018,100541687.245
country/TUN,2019,13249146.739107396
country/TUN,2020,41320038.367184386
country/TUN,2021,5928271.128783014
country/TKM,2017,2184576.8153438345
country/TKM,2019,4290.1132
country/TKM,2020,526113.5656
country/TKM,2021,805404.8859999999
country/TUR,2013,167500.0
country/TUR,2014,32511396.0
country/TUR,2015,24719800.0
country/TUR,2016,729526450.5328705
country/TUR,2017,541897754.4617257
country/TUR,2018,433333297.5502379
country/TUR,2019,62339759.90872048
country/TUR,2020,199213583.9840456
country/TUR,2021,132828188.1076
country/UGA,2016,131422.55586810093
country/UGA,2018,378990973.56221944
country/UGA,2019,10468788.421680346
country/UGA,2020,2613416.4
country/UGA,2021,1668764.6
country/UKR,2014,830000.0
country/UKR,2015,1651796.0
country/UKR,2016,56874439.76126036
country/UKR,2017,58956255.793865986
country/UKR,2018,83207648.60767025
country/UKR,2019,185831879.4563963
country/UKR,2020,75598704.05452195
country/UKR,2021,188830547.24628353
country/URY,2014,15131217.0
country/URY,2017,501256.51
country/UZB,2015,259468.02546278422
country/UZB,2016,29680.6875995179
country/UZB,2017,24762250.730757885
country/UZB,2018,115198613.15029608
country/UZB,2019,175393157.8814478
country/UZB,2020,288548041.673892
country/UZB,2021,135704258.6561622
country/VNM,2014,100000.0
country/VNM,2015,42167341.15923567
country/VNM,2016,10112703.552866241
country/VNM,2018,477508.0
country/VNM,2019,47319834.77273885
country/VNM,2020,86388353.24210191
country/VNM,2021,162368207.71331212
country/PSE,2020,5686624.961959748
country/PSE,2021,4761185.934114833
country/ZMB,2018,346068.0
country/ZMB,2019,418753.0
country/ZMB,2020,325190.0
country/ZMB,2021,9726.0
country/ZWE,2021,180072.80000000002
