dcid,year,climateFinanceProvidedDisbursementsAdaptationCurrentUSD
Earth,2013,3131305147.447288
Earth,2014,3283853608.8017244
Earth,2015,3838811019.3797646
Earth,2016,4518599448.435148
Earth,2017,4429545629.359405
Earth,2018,6766685748.9589205
Earth,2019,9218535164.497532
Earth,2020,12191783133.726465
Earth,2021,13362822280.083752
country/AUS,2013,98645963.0
country/AUS,2014,55191464.6
country/AUS,2015,66564796.800000004
country/AUS,2016,67832821.8
country/AUS,2017,60956484.0
country/AUS,2018,45036193.6
country/AUS,2019,130352922.2
country/AUS,2020,124746540.60000001
country/AUS,2021,258105271.20000002
country/AUT,2013,8085409.0
country/AUT,2014,10662607.600000001
country/AUT,2015,6729932.600000001
country/AUT,2016,7703493.8
country/AUT,2017,11038784.0
country/AUT,2018,10648722.8
country/AUT,2019,27694617.2
country/AUT,2020,15310969.2
country/AUT,2021,27647652.0
country/AZE,2020,2952.8
country/BEL,2013,42545228.6
country/BEL,2014,61359029.6
country/BEL,2015,51066524.400000006
country/BEL,2016,55390136.800000004
country/BEL,2017,77347507.8
country/BEL,2018,71142214.0
country/BEL,2019,58149173.2
country/BEL,2020,63776762.4
country/BEL,2021,60237223.400000006
country/CAN,2013,87717916.8
country/CAN,2014,46404822.6
country/CAN,2015,56970603.6
country/CAN,2016,63766343.6
country/CAN,2017,71649340.2
country/CAN,2018,72162328.4
country/CAN,2019,58747844.0
country/CAN,2020,97605063.0
country/CAN,2021,229084590.0
country/CZE,2013,2142890.8
country/CZE,2014,1732644.2
country/CZE,2015,1494782.8
country/CZE,2016,1540653.0
country/CZE,2017,2093866.2000000002
country/CZE,2018,3128253.6
country/CZE,2019,1920888.0
country/CZE,2020,1924882.4000000001
country/CZE,2021,2249914.8000000003
country/DNK,2013,25929248.6
country/DNK,2014,29979711.4
country/DNK,2015,17059310.0
country/DNK,2016,17718369.200000003
country/DNK,2017,10137785.4
country/DNK,2018,51695192.800000004
country/DNK,2019,59305273.400000006
country/DNK,2020,53325004.6
country/DNK,2021,66809726.2
country/FIN,2013,28598028.200000003
country/FIN,2014,34351236.800000004
country/FIN,2015,24770835.0
country/FIN,2016,27737146.0
country/FIN,2017,19272936.400000002
country/FIN,2018,16020779.0
country/FIN,2019,23445745.2
country/FIN,2020,25779103.6
country/FIN,2021,30564811.2
country/FRA,2013,395466029.0
country/FRA,2014,188891264.6
country/FRA,2015,93293551.0
country/FRA,2016,227327431.2
country/FRA,2017,373605172.8
country/FRA,2018,159632775.8
country/FRA,2019,530010544.0
country/FRA,2020,1170512041.0
country/FRA,2021,1680881896.8
country/DEU,2013,514584237.20000005
country/DEU,2014,441878015.6
country/DEU,2015,439074735.6
country/DEU,2016,618034598.4
