dcid,year,climateFinanceReceivedDisbursementsCrossCuttingOdaGrantsCurrentUSD
Earth,2013,1728516247.6000001
Earth,2014,1844338147.53
Earth,2015,2085193440.9938812
Earth,2016,3002920464.64
Earth,2017,2466784676.25
Earth,2018,1874802370.94376
Earth,2019,2096563640.2425199
Earth,2020,2086067256.0249588
Earth,2021,2555025450.437292
country/AFG,2013,18545083.8
country/AFG,2014,15718252.600000001
country/AFG,2015,34692787.6
country/AFG,2016,78905877.8
country/AFG,2017,68142863.2
country/AFG,2018,34606692.0
country/AFG,2019,21131549.400000002
country/AFG,2020,33581942.0
country/AFG,2021,13255164.4
country/ALB,2013,578992.8
country/ALB,2014,1124895.2
country/ALB,2015,3265021.0
country/ALB,2016,2941960.4000000004
country/ALB,2017,1420639.8
country/ALB,2018,8827012.8
country/ALB,2019,5444153.0
country/ALB,2020,12598031.8
country/ALB,2021,19270135.8
country/DZA,2013,3136698.4000000004
country/DZA,2014,2237369.6
country/DZA,2015,1680685.4000000001
country/DZA,2016,4078281.8000000003
country/DZA,2017,6675970.800000001
country/DZA,2018,3199197.2
country/DZA,2019,5657492.4
country/DZA,2020,2017294.6
country/DZA,2021,1546150.4000000001
country/AGO,2013,807160.4000000001
country/AGO,2014,939016.0
country/AGO,2015,529810.6
country/AGO,2016,838836.2000000001
country/AGO,2017,376929.2
country/AGO,2018,33759.6
country/AGO,2019,36010.8
country/AGO,2020,1089676.4
country/AGO,2021,971224.0
country/ATG,2013,83961.6
country/ATG,2014,97600.0
country/ATG,2016,21900.0
country/ATG,2018,10801.6
country/ATG,2019,53360.8
country/ATG,2020,601827.2
country/ATG,2021,108962.79999999999
country/ARG,2013,583059.4
country/ARG,2014,378928.4
country/ARG,2015,503211.60000000003
country/ARG,2016,312981.0
country/ARG,2017,395137.60000000003
country/ARG,2018,668654.4
country/ARG,2019,669228.2000000001
country/ARG,2020,1283561.6
country/ARG,2021,1973709.2000000002
country/ARM,2013,1080219.6
country/ARM,2014,1577254.0
country/ARM,2015,2558536.4
country/ARM,2016,3150719.2
country/ARM,2017,1260298.6
country/ARM,2018,1535359.6
country/ARM,2019,4838773.4
country/ARM,2020,1767547.0
country/ARM,2021,4602920.0
