dcid,year,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedCurrentUSD
Earth,2014,14000000.0
Earth,2016,383310060.28
Earth,2017,39848683.36
Earth,2018,251684508.31228602
Earth,2019,255096071.66
Earth,2020,226612540.0
Earth,2021,24755243.14
country/VNM,2014,14000000.0
