dcid,year,debtOutstandingAndDisbursedPPGCurrentUSD
country/DZA,2009,3061890020.8
country/DZA,2013,1451912858.1
country/DZA,2020,1436410001.5
country/DZA,1972,1549785827.5
country/DZA,1977,8912959726.9
country/DZA,1987,23133428591.3
country/DZA,2008,3294773388.1
country/DZA,2011,2254593628.2
country/DZA,2014,1124942499.0
country/DZA,1970,939559305.4
country/DZA,1974,3365980296.4
country/DZA,1979,16572548616.7
country/DZA,1982,14888470178.6
country/DZA,1990,26692900053.7
country/DZA,1995,31310442886.3
country/DZA,1996,31292311263.5
country/DZA,2004,20432059902.0
country/DZA,2005,15516210412.6
country/DZA,2006,3861100197.0
country/DZA,2007,4028919897.9
country/DZA,2010,2662009109.6
country/DZA,2012,1647249779.9
country/DZA,2016,1652693647.4
country/DZA,2017,1715902012.6
country/DZA,2021,1240365634.9
country/DZA,1976,6114379902.6
country/DZA,1978,13748600491.0
country/DZA,1980,17038299072.8
country/DZA,1981,16063318142.2
country/DZA,1984,14131285871.5
country/DZA,1986,19497646536.7
country/DZA,1988,24480817226.2
country/DZA,1992,25762303665.8
country/DZA,1997,28716820456.3
country/DZA,2003,21886748998.2
country/DZA,2015,870194740.2
country/DZA,2018,1522845953.9
country/DZA,2019,1398178227.5
country/AGO,1990,7603459882.7
country/AGO,1996,9377299505.7
country/AGO,2011,18239311146.9
country/AGO,2012,20946751680.4
country/AGO,2018,48094662744.1
country/AGO,2019,47616151524.5
country/AGO,1992,8130429817.5
country/AGO,1994,9122081832.6
country/AGO,1995,9544234897.9
country/AGO,1999,8713044776.2
country/AGO,2008,12784883279.6
country/AGO,2013,26154786364.4
country/AGO,2016,42043071286.4
country/AGO,1989,6676170079.9
country/AGO,1991,7702671839.4
country/AGO,1993,8691068178.9
country/AGO,1998,9099557192.7
country/AGO,2001,6982714292.1
country/AGO,2002,7540350651.9
country/AGO,2003,7634470053.7
country/AGO,2004,8180879840.0
country/AGO,2006,7361981528.7
country/AGO,2015,33861098899.5
country/AGO,2020,47386016736.3
country/AGO,2021,46739517876.5
country/AGO,1997,8681585483.1
country/AGO,2000,8084844148.0
country/AGO,2005,9532119023.4
country/AGO,2007,9240475948.2
country/AGO,2009,13739506332.2
country/AGO,2010,15662044702.2
country/AGO,2014,33506431308.5
country/AGO,2017,42920785355.0
country/ARG,1976,4654292884.8
country/ARG,1979,8827035027.4
country/ARG,1980,10346063712.9
country/ARG,1985,37538037698.1
country/ARG,1999,90264207975.5
country/ARG,2005,59419258383.0
country/ARG,2009,75796982671.2
country/ARG,2012,70577681118.3
country/ARG,2019,121319446011.1
country/ARG,1970,1963191433.6
country/ARG,1973,2938707750.5
country/ARG,1974,3421164058.1
country/ARG,1978,6977657037.8
country/ARG,1984,26904139600.9
country/ARG,1987,49483262859.3
country/ARG,1991,47843448833.1
country/ARG,2001,86641606230.8
country/ARG,2003,96673899035.5
country/ARG,2006,63381279800.3
country/ARG,2010,69184226965.5
country/ARG,2011,71538394036.7
country/ARG,2017,128246607700.9
country/ARG,2020,118035219208.7
country/ARG,1972,2498891468.3
country/ARG,1975,3302795689.9
country/ARG,1982,16039004262.2
country/ARG,1983,25628655633.2
country/ARG,1986,41196296224.1
country/ARG,1988,47819537776.8
country/ARG,1994,50588760023.7
country/ARG,1996,62287157338.5
country/ARG,1997,66984541332.5
country/ARG,1998,77240805072.9
country/ARG,2000,90357824540.8
country/ARG,2007,71086100933.0
country/ARG,2016,106602868146.7
country/ARG,2018,135603275668.4
country/ARG,1971,2256903964.5
country/ARG,1977,5266271831.3
country/ARG,1981,10722128187.8
country/ARG,1989,52113884850.7
country/ARG,1990,47154009319.6
country/ARG,1992,47871495736.2
country/ARG,1993,46139573174.2
country/ARG,1995,55221009682.0
country/ARG,2002,90234099462.9
country/ARG,2004,103055442075.4
country/ARG,2008,70923520108.4
country/ARG,2013,69886340560.7
country/ARG,2014,76272835930.0
country/ARG,2015,72820719758.1
country/ARG,2021,114750440797.3
country/ARM,1993,133902025.2
country/ARM,2002,826354046.8
country/ARM,2007,1285698946.0
country/ARM,2013,3315622405.4
country/ARM,2016,4471742570.3
country/ARM,2019,5652421544.1
country/ARM,1994,188626997.0
country/ARM,1995,298280275.0
country/ARM,1999,651398849.6
country/ARM,2000,683904100.9
country/ARM,2003,879093011.9
country/ARM,2005,924306167.7
country/ARM,2014,3380303018.5
country/ARM,2017,5227511965.1
country/ARM,1996,402669288.0
country/ARM,1998,568631826.8
country/ARM,2001,724381421.5
country/ARM,2006,1039840661.7
country/ARM,2008,1448904337.2
country/ARM,2009,2378651326.3
country/ARM,2018,5371183271.6
country/ARM,1997,484427779.7
country/ARM,2004,962207800.5
country/ARM,2010,2559562283.8
country/ARM,2011,2739931450.7
country/ARM,2012,2959497707.2
country/ARM,2015,3997978273.1
country/ARM,2020,5616375232.8
country/ARM,2021,6263174038.6
country/AZE,1993,35500000.0
country/AZE,1995,206082378.9
country/AZE,1999,533515661.0
country/AZE,2000,794476706.4
country/AZE,2011,4715542056.1
country/AZE,2012,6191499584.4
country/AZE,2014,8403975646.2
country/AZE,2006,1807462903.8
country/AZE,2009,3337166120.2
country/AZE,2018,13956314841.3
country/AZE,2019,13979288112.0
country/AZE,2021,13020359450.1
country/AZE,1994,103199844.4
country/AZE,1996,247857892.0
country/AZE,1998,311556680.6
country/AZE,2001,829122891.1
country/AZE,2002,1049156880.0
country/AZE,2004,1354122064.1
country/AZE,2008,2711815551.9
country/AZE,2013,6583445069.5
country/AZE,2015,8711627149.8
country/AZE,2016,10624469897.6
country/AZE,2017,12470060085.4
country/AZE,1997,237273458.7
country/AZE,2003,1274247695.7
country/AZE,2005,1490648700.4
country/AZE,2007,2278380628.5
country/AZE,2010,3812059993.3
country/AZE,2020,14000260943.3
country/BGD,1972,78648255.0
country/BGD,1973,421896516.2
country/BGD,1974,1092747747.5
country/BGD,1976,1715457427.3
country/BGD,1978,2448475243.5
country/BGD,1983,4610914302.9
country/BGD,1985,5875143938.6
country/BGD,1990,11510306592.7
country/BGD,1991,12052093948.3
country/BGD,1992,12462815387.6
country/BGD,1994,14626859288.4
country/BGD,1997,13710476215.1
country/BGD,2000,14989457889.5
country/BGD,2001,14410233960.6
country/BGD,2003,17679803154.0
country/BGD,2015,27093973482.9
country/BGD,2017,35255808722.6
country/BGD,2021,62425212623.7
country/BGD,1977,2050904857.0
country/BGD,1979,2511352006.3
country/BGD,1984,4946492994.7
country/BGD,1988,9386544711.8
country/BGD,1993,13290060170.6
country/BGD,1996,14489520831.9
country/BGD,2002,15980821849.9
country/BGD,2004,18698272322.6
country/BGD,2005,17438901410.0
country/BGD,2019,46375634489.2
country/BGD,2020,54786721715.7
country/BGD,1981,3516928364.0
country/BGD,1986,7249992405.0
country/BGD,1995,14914016246.4
country/BGD,1998,14936065155.5
country/BGD,2006,18435555272.7
country/BGD,2007,19433498590.1
country/BGD,2009,21184650224.6
country/BGD,2012,24196786408.2
country/BGD,2014,26538418314.4
country/BGD,2016,29079578693.1
country/BGD,2018,41285379241.5
country/BGD,1975,1476222179.8
country/BGD,1980,3166017459.9
country/BGD,1982,4183903175.6
country/BGD,1987,8823135432.2
country/BGD,1989,9914962123.9
country/BGD,1999,15812878155.3
country/BGD,2008,20273562501.9
country/BGD,2010,21145542685.2
country/BGD,2011,22217936348.9
country/BGD,2013,25033637366.2
country/BLR,1996,728852360.4
country/BLR,2003,709994979.8
country/BLR,2008,5438555605.3
country/BLR,2016,18141781860.3
country/BLR,2020,20270019163.9
country/BLR,1997,681412112.8
country/BLR,2000,688889604.7
country/BLR,2006,841892794.9
country/BLR,2007,3457260367.9
country/BLR,2010,8014341212.3
country/BLR,2015,15837014947.9
country/BLR,2017,20988207617.8
country/BLR,1994,1123830183.9
country/BLR,1999,709096042.3
country/BLR,2004,744358801.3
country/BLR,2009,6241990365.6
country/BLR,2011,10615610548.4
country/BLR,2014,15635829771.9
country/BLR,2018,19987666289.8
country/BLR,2019,19511439288.2
country/BLR,1993,865064133.6
country/BLR,1995,1301087086.2
country/BLR,1998,796385081.9
country/BLR,2001,664306430.1
country/BLR,2002,748625955.7
country/BLR,2005,785547738.5
country/BLR,2012,12559064333.2
country/BLR,2013,14622199930.0
country/BLR,2021,19979290963.3
country/BLZ,1974,5274044.5
country/BLZ,1978,22312767.1
country/BLZ,1983,75076085.2
country/BLZ,1989,128817922.6
country/BLZ,1996,250451682.2
country/BLZ,1997,268076458.6
country/BLZ,2000,556589197.0
country/BLZ,2001,648647744.6
country/BLZ,2012,984734605.8
country/BLZ,2018,1259676958.3
country/BLZ,1972,5068965.7
country/BLZ,1975,4827053.0
country/BLZ,1979,33830514.1
country/BLZ,1984,76097120.0
country/BLZ,1992,169966603.7
country/BLZ,1993,175618100.5
country/BLZ,1994,182448049.2
country/BLZ,2003,954156887.2
country/BLZ,2005,990731204.9
country/BLZ,2007,1039945812.0
country/BLZ,2011,1014198645.3
country/BLZ,1971,4338910.0
country/BLZ,1973,4825894.4
country/BLZ,1980,47043521.2
country/BLZ,1982,62401515.9
country/BLZ,1986,98298573.4
