dcid,year,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDGlobalGreenGrowthInstitute,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDIDBInvest,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDInternationalFinanceCorporation,climateFinanceReceivedCommitmentsCrossCuttingInstrumentUnspecifiedByProviderCurrentUSDIslamicDevelopmentBank
Earth,2014,,,,14000000.0,,
Earth,2016,5310060.28,378000000.0,,,,
Earth,2017,2163298.0,,37685385.36,,,
Earth,2018,2600410.0,130284098.31228602,118800000.0,,,
Earth,2019,,,223374200.0,,29721871.66,2000000.0
Earth,2020,,,226612540.0,,,
Earth,2021,,1122729.0,7994178.38,,13638335.76,2000000.0
country/VNM,2014,,,,14000000.0,,
