dcid,year,healthExpenditurePrivateCurrentUSD
country/DZA,2000,534962953.4875803
country/DZA,2001,498504539.83486074
country/DZA,2002,522457093.7161389
country/DZA,2003,568318550.3968443
country/DZA,2004,864923067.2892902
country/DZA,2005,1022615899.1504875
country/DZA,2006,1236222460.460397
country/DZA,2007,1554948623.0272005
country/DZA,2008,2009564702.2569475
country/DZA,2009,2137306664.5175486
country/DZA,2010,2515168974.3320374
country/DZA,2011,3093669095.495095
country/DZA,2012,3391880515.142692
country/DZA,2013,3662868328.404629
country/DZA,2014,3913468560.9006543
country/DZA,2015,3418537273.0868645
country/DZA,2016,3414672078.862546
country/DZA,2017,3633548727.0399404
country/DZA,2018,3689277425.027037
country/DZA,2019,3735360136.725302
country/DZA,2020,3489131778.5601954
country/AGO,2000,87970816.47550116
country/AGO,2001,259370726.1336978
country/AGO,2002,302395359.2655427
country/AGO,2003,364359758.0132896
country/AGO,2004,519093009.352822
country/AGO,2005,549680514.9501909
country/AGO,2006,567882827.9080893
country/AGO,2007,765030117.9958628
country/AGO,2008,975490095.2270947
country/AGO,2009,769917601.5101819
country/AGO,2010,782275687.9504749
country/AGO,2011,957695017.3078654
country/AGO,2012,999191911.3886904
country/AGO,2013,1322718267.5287457
country/AGO,2014,1513662570.3509629
country/AGO,2015,1512807478.8300986
country/AGO,2016,1432732072.191635
country/AGO,2017,1725222341.0016468
country/AGO,2018,1415610684.3486464
country/AGO,2019,1247968197.9539587
country/AGO,2020,912168850.8207372
country/BWA,2000,96615700.32649042
country/BWA,2001,97829510.4886086
country/BWA,2002,98423795.7344255
country/BWA,2003,134266890.81217584
country/BWA,2004,155382970.91645074
country/BWA,2005,157051866.8275761
country/BWA,2006,155369278.89645472
country/BWA,2007,165191930.4265206
country/BWA,2008,159959949.80414382
country/BWA,2009,275576790.9608125
country/BWA,2010,295753657.7394248
country/BWA,2011,299300682.9356511
country/BWA,2012,272773974.3590918
country/BWA,2013,252602451.40429974
country/BWA,2014,220059292.90280634
country/BWA,2015,208193065.14682618
country/BWA,2016,241971392.2129078
country/BWA,2017,157265783.6329514
country/BWA,2018,235387106.80663428
country/BWA,2019,194259733.0464608
country/BWA,2020,181322450.78192398
country/BFA,2000,40388938.32396806
country/BFA,2001,43093778.154863454
country/BFA,2002,45413896.01722502
country/BFA,2003,55239691.48259856
country/BFA,2004,75869695.38824807
country/BFA,2005,81743865.41999888
country/BFA,2006,97241223.16778241
country/BFA,2007,118036273.79904293
country/BFA,2008,149541429.3948019
country/BFA,2009,176309539.38709083
country/BFA,2010,178215105.59715724
country/BFA,2011,215735959.45473462
country/BFA,2012,223519388.4758044
country/BFA,2013,310449867.9465142
country/BFA,2014,305790046.4325023
country/BFA,2015,285113637.40995896
country/BFA,2016,278463160.22314554
country/BFA,2017,330647802.55674946
country/BFA,2018,336510282.78940403
country/BFA,2019,364750060.0815817
country/BFA,2020,447578267.78448224
country/BDI,2000,40630191.97175792
country/BDI,2001,30125297.17887969
country/BDI,2002,32376318.01579909
country/BDI,2003,30000753.056640375
country/BDI,2004,31846576.20962849
country/BDI,2005,44332442.225851215
country/BDI,2006,61723213.873839386
country/BDI,2007,72398619.57613365
country/BDI,2008,79998425.58235763
country/BDI,2009,80465324.77743666
country/BDI,2010,90494717.2376023
country/BDI,2011,87421494.5489929
country/BDI,2012,79463704.1555661
country/BDI,2013,79143950.139753
country/BDI,2014,94665461.64709057
country/BDI,2015,100413009.94543353
country/BDI,2016,63601449.56684074
country/BDI,2017,68603739.81549458
country/BDI,2018,63631606.15186061
country/BDI,2019,64146811.655717805
country/BDI,2020,64276525.29216245
country/BEN,2000,62522366.291203305
country/BEN,2001,64842292.95473565
country/BEN,2002,73691233.34039159
country/BEN,2003,94494677.75198379
country/BEN,2004,106726225.17797148
country/BEN,2005,108859738.05240482
country/BEN,2006,116695212.6134165
country/BEN,2007,128639653.04605085
country/BEN,2008,140370121.4707949
country/BEN,2009,141809992.94735268
country/BEN,2010,143118343.43166608
country/BEN,2011,160362783.54999918
country/BEN,2012,159369340.21100393
country/BEN,2013,171106404.65600732
country/BEN,2014,176609502.32769173
country/BEN,2015,151079402.09257713
country/BEN,2016,152758257.33624765
country/BEN,2017,162807510.13246745
country/BEN,2018,177344752.83643833
country/BEN,2019,173866867.1395869
country/BEN,2020,188438461.66877493
country/CPV,2000,7052285.867277575
country/CPV,2001,7065985.1473596115
country/CPV,2002,7860057.1379675735
country/CPV,2003,10029694.272785377
country/CPV,2004,11068995.197935537
country/CPV,2005,11876890.085210266
country/CPV,2006,13678786.790502671
country/CPV,2007,15043337.342680225
country/CPV,2008,16264074.925196247
country/CPV,2009,16672335.609448155
country/CPV,2010,22864144.648162324
country/CPV,2011,23083652.710926536
country/CPV,2012,24235646.402800184
country/CPV,2013,26388954.14559571
country/CPV,2014,27550757.654589362
country/CPV,2015,23122599.713767707
country/CPV,2016,25252330.243830938
country/CPV,2017,27712417.551830046
country/CPV,2018,29149273.068815246
country/CPV,2019,29362202.955336876
country/CPV,2020,26010733.98528059
country/CMR,2000,354787253.9295927
country/CMR,2001,330497788.09790057
country/CMR,2002,372038530.4013647
country/CMR,2003,471474517.194592
country/CMR,2004,545509467.9530956
country/CMR,2005,573793667.6340256
country/CMR,2006,609449817.8675386
country/CMR,2007,705431094.1195303
country/CMR,2008,799358820.9339807
country/CMR,2009,796630084.726088
country/CMR,2010,793517417.2732576
country/CMR,2011,861189951.9584779
country/CMR,2012,899210907.1410306
country/CMR,2013,973185947.4796052
country/CMR,2014,1017442605.9559925
country/CMR,2015,926018074.5974575
country/CMR,2016,972041375.8224175
country/CMR,2017,1059144823.9077704
country/CMR,2018,1099722491.2840507
country/CMR,2019,1098204273.1838834
country/CMR,2020,1103243121.4426186
country/CAF,2000,17843037.265195794
country/CAF,2001,19479519.31663292
country/CAF,2002,21134170.30086947
country/CAF,2003,27544235.80762635
country/CAF,2004,31644401.994228337
country/CAF,2005,33565115.950262025
country/CAF,2006,36959674.85866387
country/CAF,2007,42851322.99454344
country/CAF,2008,49926200.39228323
country/CAF,2009,50270807.57358933
country/CAF,2010,46560218.42300495
country/CAF,2011,53608351.83204826
country/CAF,2012,58154240.81930284
country/CAF,2013,37288691.24172464
country/CAF,2014,41000470.75542609
country/CAF,2015,42295846.877230644
country/CAF,2016,55801582.895874634
country/CAF,2017,79576141.76016498
country/CAF,2018,106131039.77455889
country/CAF,2019,110326673.00005251
country/CAF,2020,118252046.11335495
country/TCD,2000,50198376.21140297
country/TCD,2001,63120880.973056495
country/TCD,2002,111920245.0988958
country/TCD,2003,88282854.32805872
country/TCD,2004,150569454.7669142
country/TCD,2005,195137828.6025806
country/TCD,2006,248093163.55032566
country/TCD,2007,264663957.23905912
country/TCD,2008,315694867.53336656
country/TCD,2009,294169531.47475994
country/TCD,2010,317239022.3257531
country/TCD,2011,315222417.3245596
country/TCD,2012,309147049.4225059
country/TCD,2013,337008476.280086
country/TCD,2014,362583975.6054049
country/TCD,2015,305698992.3211162
country/TCD,2016,317651414.2293454
country/TCD,2017,295968201.16611224
country/TCD,2018,334905054.49695766
country/TCD,2019,318278116.3472899
country/TCD,2020,355368608.86008644
country/COM,2000,20966661.3584031
country/COM,2001,20842266.324857205
country/COM,2002,22538751.317160398
country/COM,2003,27618139.640619904
country/COM,2004,31083047.1133868
country/COM,2005,31836156.820258338
country/COM,2006,32877560.23957074
country/COM,2007,36743658.495625466
country/COM,2008,40416365.700083606
country/COM,2009,39225479.108139284
country/COM,2010,38185010.1936857
country/COM,2011,36699559.01963384
country/COM,2012,36854720.18545134
country/COM,2013,40156086.361899585
country/COM,2014,41102214.02559152
country/COM,2015,35148790.79544971
country/COM,2016,35341721.00066914
country/COM,2017,38237616.40877545
country/COM,2018,41171554.830374055
country/COM,2019,40838012.668113634
country/COM,2020,47102555.650551945
country/COG,2000,29679635.629281368
country/COG,2001,31289286.359204367
country/COG,2002,35858942.76052126
country/COG,2003,46505459.4405794
country/COG,2004,56004824.961971134
country/COG,2005,61144224.2532687
country/COG,2006,69309813.37935966
country/COG,2007,84810031.6419405
country/COG,2008,102824574.3060117
country/COG,2009,108308977.9102089
country/COG,2010,105981422.99469867
country/COG,2011,114860695.74578047
country/COG,2012,103924525.58673786
country/COG,2013,111551951.36213194
country/COG,2014,119584463.06638272
country/COG,2015,103824198.99896078
country/COG,2016,146696584.943352
country/COG,2017,152199297.28144503
country/COG,2018,153568717.76621348
country/COG,2019,161272856.09185395
country/COG,2020,211193928.3415611
country/CIV,2000,757697441.3806864
country/CIV,2001,788095635.0129514
country/CIV,2002,844474805.4999238
country/CIV,2003,970756109.4383916
country/CIV,2004,1022193640.6542983
country/CIV,2005,978848130.1959414
country/CIV,2006,945850977.1896008
country/CIV,2007,1006547392.8032125
country/CIV,2008,1155610193.2174392
country/CIV,2009,1125613703.005257
country/CIV,2010,1157406597.7693968
country/CIV,2011,1165765235.477108
country/CIV,2012,1106570475.22724
country/CIV,2013,1152505499.957614
country/CIV,2014,1198002444.3332853
country/CIV,2015,913640790.1223533
country/CIV,2016,954674614.6163068
country/CIV,2017,993035311.0560957
country/CIV,2018,1061290667.4928629
country/CIV,2019,1093732066.89106
country/CIV,2020,1134948837.5678146
country/COD,2000,658192264.3673419
country/COD,2001,237271308.9921415
country/COD,2002,186062457.3168504
country/COD,2003,253810676.13722798
country/COD,2004,352687241.7703907
country/COD,2005,384298484.5121052
country/COD,2006,474044169.71136796
country/COD,2007,511246180.5194247
country/COD,2008,550679900.2853801
country/COD,2009,441379605.3464468
country/COD,2010,373994772.7426688
country/COD,2011,371800985.3647337
country/COD,2012,447213152.90440094
country/COD,2013,534753874.06721896
country/COD,2014,656655459.4445808
country/COD,2015,662977253.1693048
country/COD,2016,715751518.6135254
country/COD,2017,751853855.7608498
country/COD,2018,773899978.2219437
country/COD,2019,809750373.7387456
country/COD,2020,916837044.9467232
country/GNQ,2000,20380277.400799643
country/GNQ,2001,30172991.207890317
country/GNQ,2002,42619223.3564319
country/GNQ,2003,64623367.905403785
country/GNQ,2004,86380233.70981441
country/GNQ,2005,102049462.5230733
country/GNQ,2006,118456547.76139109
country/GNQ,2007,156286696.18422246
country/GNQ,2008,294512236.5633115
country/GNQ,2009,173059503.21803212
country/GNQ,2010,209752070.43570447
country/GNQ,2011,230972325.56157684
country/GNQ,2012,155976187.1551728
country/GNQ,2013,313008861.58652174
country/GNQ,2014,373094467.37027764
country/GNQ,2015,306515569.82243663
country/GNQ,2016,271183516.8818801
country/GNQ,2017,281444793.8094498
country/GNQ,2018,315075394.9550954
country/GNQ,2019,269300215.6265606
country/GNQ,2020,287557454.08850133
country/ERI,2000,20103896.103896104
country/ERI,2001,19275911.723545462
country/ERI,2002,17373307.5428274
country/ERI,2003,19239235.12703397
country/ERI,2004,21142339.07524932
country/ERI,2005,20562318.683404233
country/ERI,2006,22317762.081300817
country/ERI,2007,23739837.398373984
country/ERI,2008,19783713.787317075
country/ERI,2009,32223283.84520326
country/ERI,2010,38713872.17105691
country/ERI,2011,39950132.76422764
country/ERI,2012,45153795.20065041
country/ERI,2013,48156168.8494309
country/ERI,2014,55624389.65918699
country/ERI,2015,37781783.66699186
country/ERI,2016,43185277.432573296
country/ERI,2017,29056178.252736323
country/ERI,2018,40484127.66567165
country/ERI,2019,38169782.57910447
country/ERI,2020,38586306.55389718
country/SWZ,2000,34902014.12426871
country/SWZ,2001,33692383.303986445
country/SWZ,2002,31888409.026368678
country/SWZ,2003,50522687.97015628
country/SWZ,2004,66296543.10944369
country/SWZ,2005,74586352.20543472
country/SWZ,2006,76848430.1940262
country/SWZ,2007,80399914.55659144
country/SWZ,2008,74142840.58010781
country/SWZ,2009,77720050.69594242
country/SWZ,2010,96245983.18134312
country/SWZ,2011,103386360.78219716
country/SWZ,2012,97048586.07122529
country/SWZ,2013,87294124.593881
country/SWZ,2014,81905620.46369918
country/SWZ,2015,73278656.12864536
