dcid,year,climateFinanceReceivedDisbursementsOdaGrantsCurrentUSD
country/BWA,2019,492943.60000000003
country/BWA,2020,3103769.8
country/BWA,2021,3766698.2
country/BRA,2013,766604146.6
country/BRA,2014,186672899.2
country/BRA,2015,192077226.6
country/BRA,2016,211055831.0
country/BRA,2017,152521112.45259148
country/BRA,2018,144679991.2
country/BRA,2019,70116111.4
country/BRA,2020,58391205.07
country/BRA,2021,82933241.84
country/BFA,2013,48173379.4
country/BFA,2014,36850469.6
country/BFA,2015,33634021.0
country/BFA,2016,46839924.40197422
country/BFA,2017,72384393.2
country/BFA,2018,77137011.97120593
country/BFA,2019,96166549.32379423
country/BFA,2020,124272585.16796845
country/BFA,2021,126030257.16692962
country/BDI,2013,30037924.400000002
country/BDI,2014,33231082.200000003
country/BDI,2015,16616776.200000001
country/BDI,2016,30182169.610000003
country/BDI,2017,21904106.525486726
country/BDI,2018,38263875.71
country/BDI,2019,52273363.208855115
country/BDI,2020,41216786.42864752
country/BDI,2021,64387609.281986974
country/CPV,2013,6833276.8
country/CPV,2014,3971498.0
country/CPV,2015,1048926.8
country/CPV,2016,15117365.0
country/CPV,2017,18763100.8
country/CPV,2018,4243678.6
country/CPV,2019,6034831.6
country/CPV,2020,5364066.6
country/CPV,2021,18666583.8
country/KHM,2013,52623492.8
country/KHM,2014,68381703.0
country/KHM,2015,54604852.07823275
country/KHM,2016,47543056.17
country/KHM,2017,55142596.39201759
country/KHM,2018,47763946.2
country/KHM,2019,42291299.594543785
country/KHM,2020,63160256.217506714
country/KHM,2021,63695118.62730187
country/CMR,2013,18536663.400000002
country/CMR,2014,21576904.8
country/CMR,2015,15448633.200000001
country/CMR,2016,22323343.6
country/CMR,2017,31113475.6
country/CMR,2018,29781747.400000002
country/CMR,2019,34499521.7288
country/CMR,2020,28452215.077200003
country/CMR,2021,46257316.4564
country/CAF,2013,3357401.0
country/CAF,2014,4087371.8000000003
country/CAF,2015,1505115.8
country/CAF,2016,6298006.800000001
country/CAF,2017,3984615.8800000004
country/CAF,2018,4240564.004514308
country/CAF,2019,13417949.499400001
country/CAF,2020,24224556.697393544
country/CAF,2021,12498879.067487663
country/TCD,2013,23704043.200000003
country/TCD,2014,23569478.2
country/TCD,2015,16487882.200000001
country/TCD,2016,16652889.81
country/TCD,2017,20924793.8
country/TCD,2018,32102060.537
country/TCD,2019,39266408.93395122
country/TCD,2020,100233169.50987577
country/TCD,2021,61490824.5232
country/CHL,2013,8496815.4
country/CHL,2014,27301419.6
country/CHL,2015,7792055.2
country/CHL,2016,5346270.8
country/CHL,2017,7932096.8
country/CHN,2013,68511888.4
country/CHN,2014,48663774.0
country/CHN,2015,50472358.3724918
country/CHN,2016,54952188.19
country/CHN,2017,39800533.2
country/CHN,2018,28655510.400000002
country/CHN,2019,39273665.0
country/CHN,2020,46661953.0
country/CHN,2021,50437141.42782303
country/COL,2013,39279970.6
country/COL,2014,39446525.6
country/COL,2015,80929656.010805
country/COL,2016,70479464.87
country/COL,2017,82445214.4
country/COL,2018,50924861.410000004
country/COL,2019,72288138.825
country/COL,2020,129892603.60752091
country/COL,2021,137126820.3744396
country/COM,2013,2624282.4
country/COM,2014,735757.6
country/COM,2015,2303855.1799999997
country/COM,2016,2317757.54
country/COM,2017,3371778.137594256
country/COM,2018,6655402.4561381405
country/COM,2019,6963390.13854049
country/COM,2020,17374506.094514407
country/COM,2021,14025941.896152118
country/COG,2013,2722986.4
country/COG,2014,5693075.8
country/COG,2015,2984590.8
country/COG,2016,3248814.2
country/COG,2017,3332484.6
country/COG,2018,2048065.2
country/COG,2019,3472403.2
country/COG,2020,6808970.4
country/COG,2021,5283691.4
country/COK,2013,1987507.4
country/COK,2014,12788722.0
country/COK,2015,9490002.4
country/COK,2016,2623294.8
country/COK,2017,3750515.0
country/COK,2018,7707569.2
country/COK,2019,3764679.2
country/CRI,2013,6437595.2
country/CRI,2014,7171571.600000001
country/CRI,2015,2923152.8000000003
country/CRI,2016,4519207.600000001
country/CRI,2017,4262706.0
country/CRI,2018,7151011.2
country/CRI,2019,5419648.4
country/CRI,2020,9358405.4
country/CRI,2021,62807130.8
country/CUB,2013,14399521.200000001
country/CUB,2014,10671177.2
country/CUB,2015,8377623.0
country/CUB,2016,10069167.8
country/CUB,2017,8784479.2
country/CUB,2018,11597447.2
country/CUB,2019,12828487.200000001
country/CUB,2020,32777240.635335017
country/CUB,2021,30513043.0
country/CIV,2013,7286035.0
country/CIV,2014,5749159.2
country/CIV,2015,4589794.4
country/CIV,2016,4795359.6
country/CIV,2017,10595167.0
country/CIV,2018,14219010.8
country/CIV,2019,17141050.2
country/CIV,2020,33739149.25
country/CIV,2021,29191903.8
country/PRK,2013,287066.4
country/PRK,2014,267799.0
country/PRK,2015,443650.4
country/PRK,2016,997178.6
country/PRK,2017,1134794.6
country/PRK,2018,793986.8
country/PRK,2019,872272.6
country/PRK,2020,521306.6
country/PRK,2021,606729.8
country/COD,2013,74759595.2
country/COD,2014,45968847.2
country/COD,2015,49332291.6
country/COD,2016,98384305.6
country/COD,2017,136501560.38046315
country/COD,2018,99368758.09649944
country/COD,2019,88084967.35288827
country/COD,2020,93592787.34017903
country/COD,2021,132238827.15713678
