dcid,year,climateFinanceReceivedDisbursementsOdaGrantsCurrentUSD
country/PAK,2013,40496848.6
country/PAK,2014,62671878.4
country/PAK,2015,187921487.20000002
country/PAK,2016,197777722.8
country/PAK,2017,137712845.4
country/PAK,2018,145504659.6
country/PAK,2019,151612128.40150002
country/PAK,2020,137151947.6
country/PAK,2021,58977913.120000005
country/PLW,2013,6320229.800000001
country/PLW,2014,2364141.6
country/PLW,2015,5493033.2
country/PLW,2016,3597382.0
country/PLW,2017,2980494.6
country/PLW,2018,3158112.4
country/PLW,2019,2329312.4
country/PLW,2020,3513555.6
country/PLW,2021,3006808.8000000003
country/PAN,2013,3548530.0
country/PAN,2014,666352.4
country/PAN,2015,524340.8
country/PAN,2016,1140249.6
country/PAN,2017,6913402.7
country/PAN,2018,855070.64
country/PAN,2019,1528330.8
country/PAN,2020,12604425.42
country/PAN,2021,1834978.99
country/PNG,2013,14324861.0
country/PNG,2014,10147741.8
country/PNG,2015,14990175.2
country/PNG,2016,20902434.8
country/PNG,2017,33187007.6
country/PNG,2018,44274826.6
country/PNG,2019,63505174.0
country/PNG,2020,69480820.4
country/PNG,2021,136070753.4
country/PRY,2013,7962820.0
country/PRY,2014,5001784.86
country/PRY,2015,2922139.2
country/PRY,2016,7234579.4
country/PRY,2017,7347972.8
country/PRY,2018,6940952.0
country/PRY,2019,5115272.8
country/PRY,2020,6133104.600000001
country/PRY,2021,6692406.8
country/PER,2013,65380147.6
country/PER,2014,62940967.2
country/PER,2015,67370612.06268558
country/PER,2016,66378520.54
country/PER,2017,56507968.2
country/PER,2018,48608521.0
country/PER,2019,73489099.92236617
country/PER,2020,68716588.3812245
country/PER,2021,92105182.156805
country/PHL,2013,59862629.6
country/PHL,2014,77989933.0
country/PHL,2015,73291534.58829992
country/PHL,2016,86856469.9
country/PHL,2017,64007175.2
country/PHL,2018,46464485.38599287
country/PHL,2019,53471932.056086
country/PHL,2020,75807583.05214846
country/PHL,2021,63470780.32235153
country/RWA,2013,53305444.6
country/RWA,2014,37053474.2
country/RWA,2015,70863251.65741476
country/RWA,2016,88052467.57000001
country/RWA,2017,109679238.60000001
country/RWA,2018,88077972.65238379
country/RWA,2019,79605821.01649982
country/RWA,2020,95815104.17718825
country/RWA,2021,92377818.97333662
country/SHN,2014,2642739.6
country/SHN,2015,624847.2000000001
country/SHN,2016,4699289.600000001
country/SHN,2017,1167606.8
country/SHN,2018,27620.800000000003
country/SHN,2019,1102173.0
country/SHN,2020,1448945.2000000002
country/SHN,2021,1032443.0
country/KNA,2013,127888.20000000001
country/LCA,2013,313089.4
country/LCA,2014,564982.2
country/LCA,2015,954396.2000000001
country/LCA,2016,8794152.4
country/LCA,2017,4302858.800000001
country/LCA,2018,1966371.6
country/LCA,2019,670577.6
country/LCA,2020,988027.2000000001
country/LCA,2021,5616215.8
country/VCT,2013,640635.4
country/VCT,2014,156083.6
country/VCT,2015,176301.2
country/VCT,2016,8261814.4
country/VCT,2017,6078845.4
country/VCT,2018,7064022.6
country/VCT,2019,2412709.0
country/VCT,2020,669698.6
country/VCT,2021,1656096.4
country/WSM,2013,11550509.4
country/WSM,2014,21368062.6
country/WSM,2015,13779568.72
country/WSM,2016,20728620.22
country/WSM,2017,16502094.840393135
country/WSM,2018,23341516.466419883
country/WSM,2019,18977962.330000002
country/WSM,2020,22881299.087361325
country/WSM,2021,18833233.54122863
country/STP,2013,670209.4
country/STP,2014,2026186.2000000002
country/STP,2015,2130687.8000000003
country/STP,2016,4792967.8
country/STP,2017,2727144.4
country/STP,2018,2909290.9
country/STP,2019,6042349.44
country/STP,2020,7828416.5600000005
country/STP,2021,6847249.615900001
country/SEN,2013,48821011.4
country/SEN,2014,43553432.0
country/SEN,2015,44620539.35845199
country/SEN,2016,63201519.88
country/SEN,2017,50649988.8
country/SEN,2018,74474605.2
country/SEN,2019,62225628.62070637
country/SEN,2020,77076270.5490402
country/SEN,2021,90194066.40017042
country/SRB,2013,15559016.33759558
country/SRB,2014,17573211.34840505
country/SRB,2015,18304421.011494208
country/SRB,2016,39122032.194366656
country/SRB,2017,31681593.4
country/SRB,2018,35357291.800000004
country/SRB,2019,31697438.798516113
country/SRB,2020,82209165.46329214
country/SRB,2021,54519089.699275926
country/SYC,2013,7741510.0
country/SYC,2014,4516243.2
country/SYC,2015,155110.4
country/SYC,2016,1705113.6021684736
country/SYC,2017,1041477.6
country/SLE,2013,4926674.6
country/SLE,2014,5831076.4
country/SLE,2015,6862402.2
country/SLE,2016,21372309.8
country/SLE,2017,21083557.2
country/SLE,2018,48467458.8579
country/SLE,2019,48391701.95684106
country/SLE,2020,77346078.43751802
country/SLE,2021,44677240.65915902
country/SLB,2013,17085414.0
country/SLB,2014,7141513.0
country/SLB,2015,11171133.053706504
country/SLB,2016,9825466.2
country/SLB,2017,19778158.831467472
country/SLB,2018,21653608.52475885
country/SLB,2019,18913145.5096
country/SLB,2020,27751093.4769
country/SLB,2021,43081166.76323515
country/SOM,2013,20003879.8
country/SOM,2014,27599308.6
country/SOM,2015,23162450.8
country/SOM,2016,37005580.2
country/SOM,2017,44237478.800000004
country/SOM,2018,98127430.0
country/SOM,2019,89387112.5
country/SOM,2020,123616043.67647
country/SOM,2021,86410697.28
country/ZAF,2013,42186450.6
country/ZAF,2014,43661900.2
country/ZAF,2015,44728842.8
country/ZAF,2016,57003778.800000004
country/ZAF,2017,39848687.4
country/ZAF,2018,20385584.400000002
country/ZAF,2019,27700416.0
country/ZAF,2020,39211864.2
country/ZAF,2021,47692200.6
country/SSD,2013,47259508.2
country/SSD,2014,53283403.4
country/SSD,2015,110394891.4
country/SSD,2016,101015913.0
country/SSD,2017,104358355.2
country/SSD,2018,103986802.2
country/SSD,2019,103266226.4
country/SSD,2020,92093919.11840001
country/SSD,2021,53725325.94227502
country/LKA,2013,8687185.4
country/LKA,2014,11136549.200000001
country/LKA,2015,11664707.200000001
country/LKA,2016,16415257.4
country/LKA,2017,8376102.2
country/LKA,2018,5405940.4
country/LKA,2019,9652895.313055806
country/LKA,2020,15371482.613958515
country/LKA,2021,18324246.241779815
country/SDN,2013,17667199.4
country/SDN,2014,12401038.8
country/SDN,2015,10781244.200000001
country/SDN,2016,11248963.03390488
country/SDN,2017,9820126.0
country/SDN,2018,20311488.54600928
country/SDN,2019,58450655.747733615
country/SDN,2020,52853848.440849625
country/SDN,2021,411057361.47789323
country/SUR,2013,951861.2
country/SUR,2014,620367.2
country/SUR,2015,285716.4
country/SUR,2016,1635187.0
country/SUR,2017,1672188.8
country/SUR,2018,3941633.4000000004
country/SUR,2019,812893.4
country/SUR,2020,2075588.4
country/SUR,2021,3455291.8
country/SYR,2013,2112617.0
country/SYR,2014,2527468.4000000004
country/SYR,2015,5258948.800000001
country/SYR,2016,244621.6
country/SYR,2017,1113962.8
country/SYR,2018,3975992.0000000005
country/SYR,2019,3698073.2
country/SYR,2020,22039565.0
country/SYR,2021,26437817.6
country/TJK,2013,14358930.8
country/TJK,2014,7547753.0
country/TJK,2015,18828692.79
country/TJK,2016,37637412.71
country/TJK,2017,44804468.791417874
country/TJK,2018,76083537.17
country/TJK,2019,55636447.9178
country/TJK,2020,50323291.2904
country/TJK,2021,75593910.7076
country/TZA,2013,71702393.0
country/TZA,2014,87461036.4
country/TZA,2015,135943414.6
country/TZA,2016,134328944.0
country/TZA,2017,133968299.0
country/TZA,2018,141733585.6
country/TZA,2019,90841950.8
country/TZA,2020,78539275.09905694
country/TZA,2021,79942287.719667
country/THA,2013,37835083.0
country/THA,2014,19941031.8
country/THA,2015,31233499.799999997
country/THA,2016,13409498.88
country/THA,2017,6352636.8
country/THA,2018,5955199.482
country/THA,2019,11371257.6
country/THA,2020,12920565.6
country/THA,2021,12972219.8
country/TLS,2013,21744272.4
country/TLS,2014,21249521.8
country/TLS,2015,20539405.0
country/TLS,2016,22899583.2
country/TLS,2017,14951707.4
country/TLS,2018,16471617.2
country/TLS,2019,8113102.2
country/TLS,2020,20844938.2
country/TLS,2021,25513775.8
country/TGO,2013,6786097.2
country/TGO,2014,9480350.200000001
country/TGO,2015,11204006.4
country/TGO,2016,8367895.0
country/TGO,2017,10296722.52
country/TGO,2018,17261211.5342
country/TGO,2019,31464135.483602714
country/TGO,2020,19285987.939879287
country/TGO,2021,29677972.03349881
country/TKL,2013,164859.8
country/TKL,2014,87379.20000000001
country/TKL,2015,8676.800000000001
country/TKL,2016,579.6
country/TKL,2017,751126.4
country/TKL,2018,4080232.8000000003
country/TKL,2019,2274589.2
country/TKL,2020,1729106.4
country/TKL,2021,296657.80000000005
country/TON,2013,4765029.4
country/TON,2014,16565176.42391029
country/TON,2015,10217010.979137557
country/TON,2016,8699663.295
country/TON,2017,17178740.450358536
country/TON,2018,20702930.206683222
country/TON,2019,19805794.26481866
country/TON,2020,60093443.140798025
country/TON,2021,27796277.575923145
country/TUN,2013,11228952.12771742
country/TUN,2014,14588142.45073907
country/TUN,2015,21289127.358761515
country/TUN,2016,21065022.543505225
country/TUN,2017,26007655.96679275
country/TUN,2018,24225281.863850616
country/TUN,2019,30508883.90209084
country/TUN,2020,29766515.848725867
country/TUN,2021,31482415.461614303
country/TKM,2013,209106.2
country/TKM,2014,630016.0
country/TKM,2015,630168.4
country/TKM,2016,2589525.8
country/TKM,2017,273566.0
country/TKM,2018,68526.8
country/TKM,2019,14364.0
country/TKM,2020,7646.0
country/TKM,2021,1693706.7999999998
country/TUV,2013,4291474.0
country/TUV,2014,10625160.0
country/TUV,2015,12028045.658
country/TUV,2016,4054241.5999999996
country/TUV,2017,1580066.9718
country/TUV,2018,4906866.116
country/TUV,2019,3242040.7363
country/TUV,2020,3402279.578
country/TUV,2021,6825197.8984
country/TUR,2013,23741305.4
country/TUR,2014,102946002.60000001
country/TUR,2015,95642276.4
country/TUR,2016,139263995.8
country/TUR,2017,54397964.0
country/TUR,2018,73131297.4
country/TUR,2019,92239736.59359
country/TUR,2020,69238517.2
country/TUR,2021,249958227.4
country/UGA,2013,140119422.0
country/UGA,2014,122626753.2
country/UGA,2015,124221300.39729695
country/UGA,2016,131417493.38
country/UGA,2017,99668816.60000001
country/UGA,2018,109403055.58783773
country/UGA,2019,103323324.35290223
country/UGA,2020,86903739.55009623
country/UGA,2021,89626698.47906524
country/UKR,2013,97340389.6
country/UKR,2014,38261279.6
country/UKR,2015,37846022.0
country/UKR,2016,39281832.0
country/UKR,2017,41491206.2
country/UKR,2018,162178046.4
country/UKR,2019,40870143.01867201
country/UKR,2020,34713527.09470334
country/UKR,2021,64053381.63177364
country/URY,2013,579617.0
country/URY,2014,2062665.4
country/URY,2015,2861093.0
country/URY,2016,3636139.6
country/URY,2017,226404.60000000003
country/UZB,2013,2343794.8000000003
country/UZB,2014,3285637.0
country/UZB,2015,4661988.6
country/UZB,2016,4659832.600000001
country/UZB,2017,9109496.6
country/UZB,2018,10711623.4
country/UZB,2019,15951309.6
country/UZB,2020,26600671.8
country/UZB,2021,19867626.8
country/VUT,2013,7075847.6
country/VUT,2014,12822467.0
country/VUT,2015,23764339.187178366
country/VUT,2016,17593532.270000003
country/VUT,2017,15225333.430300001
country/VUT,2018,14284083.834627869
country/VUT,2019,22391373.655590095
country/VUT,2020,32060380.615201592
country/VUT,2021,49530694.800000004
country/VEN,2013,400066.60000000003
country/VEN,2014,179242.88999999998
country/VEN,2015,225305.2
country/VEN,2016,1894405.6
country/VEN,2017,622257.4
country/VEN,2018,2436632.0
country/VEN,2019,1868221.4
country/VEN,2020,3260559.4
country/VEN,2021,3697935.0
country/VNM,2013,95543608.6
country/VNM,2014,90225390.2
country/VNM,2015,67326814.8775821
country/VNM,2016,97065910.4312
country/VNM,2017,84627812.4
country/VNM,2018,97606932.51529458
country/VNM,2019,72451348.95022862
country/VNM,2020,88018190.15081505
country/VNM,2021,90653497.01620899
country/WLF,2013,67514.8
country/WLF,2014,89194.0
country/WLF,2016,6838.400000000001
country/WLF,2018,129030.80000000002
country/WLF,2019,313372.8
country/WLF,2020,635914.4
country/WLF,2021,186985.60000000003
country/PSE,2013,30584461.400000002
country/PSE,2014,48896622.2
country/PSE,2015,32141711.8
country/PSE,2016,56638923.800000004
country/PSE,2017,56870408.800000004
country/PSE,2018,102844102.38920888
country/PSE,2019,98525833.45250653
country/PSE,2020,74256793.8
country/PSE,2021,59859259.0378301
country/YEM,2013,17929393.6
country/YEM,2014,16070871.200000001
country/YEM,2015,9576320.0
country/YEM,2016,28595765.6
country/YEM,2017,17171446.4
country/YEM,2018,24046229.23
country/YEM,2019,84856897.38
country/YEM,2020,88037297.58
country/YEM,2021,107170576.8875716
country/ZMB,2013,51604273.6
country/ZMB,2014,41023951.0
country/ZMB,2015,42086764.800000004
country/ZMB,2016,56048402.800000004
country/ZMB,2017,74844744.2
country/ZMB,2018,62871312.0
country/ZMB,2019,75733227.4
country/ZMB,2020,62315625.800000004
country/ZMB,2021,52106454.24055305
country/ZWE,2013,23885940.6
country/ZWE,2014,13912213.200000001
country/ZWE,2015,25111578.400000002
country/ZWE,2016,18641145.0
country/ZWE,2017,23640969.400000002
country/ZWE,2018,25134219.0
country/ZWE,2019,69404234.85186529
country/ZWE,2020,59846389.770499915
country/ZWE,2021,37193746.8
