dcid,year,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDDenmark,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDNorway,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDSwitzerland,climateFinanceReceivedDisbursementsEquityInvestmentByProviderCurrentUSDUnitedKingdom
Earth,2013,,,768937.9739315866,5390655.8,,127433862.2,,,,32897682.4,680466.2,5925281.0,
Earth,2014,89369.0,,3388888.402823497,29274457.2,,80270664.6,,,,,2027210.4,9858940.0,
Earth,2015,2727019.0,,2310878.331967065,13905995.6,,56899426.4,,5163506.0,,,7238602.199999999,,3882231.0
Earth,2016,1496993.0,8141749.0,25570056.52872521,7155253.800000001,,51830838.8,,12168761.0,6634966.0,,7144531.6,8253781.600000001,
Earth,2017,5449233.0,6697046.4,12672212.794560429,7163465.0,,80227816.0,65116.2,13168836.0,7890880.0,,8411483.6,,6993396.0
Earth,2018,7240244.0,,83645675.70184343,11553033.8,95579812.0,45653760.4,,256206.0,10621976.0,,4629869.0,3067798.0,8999241.0
Earth,2019,4565441.0,,52903461.586850315,16838767.8,44281563.8,208809843.6,,5131680.0,2109022.0,,693270.4000000001,3018716.0,65556186.2
Earth,2020,2850478.0,,41029384.193320826,50298182.0,56593524.2,159897127.6,,6757783.0,14226290.0,,199257.6,3194888.0,78916098.4
Earth,2021,2956784.0,,22481503.131650846,57332325.8,71190694.0,132146621.8,,12403332.6,2175195.0,,433952.0,7439825.2,88477014.0
country/AZE,2014,,,,,,2388218.0,,,,,,,
country/BRA,2016,,207999.0,,,,,,,,,,,
country/BRA,2017,,1781.0,,,,,,,,,,,
country/BRA,2020,,,,,21424501.2,,,,,,,,
country/CHL,2013,,,,,,,,,,9187443.0,,,
country/CHN,2014,,,,4643757.0,,,,,,,,,
country/CHN,2016,,4655181.0,,552914.0,,,,,,,,,
country/CHN,2017,,2804371.4,,,,,,,,,,,
country/CMR,2021,,,,,8029476.000000001,,,,,,,,
country/COL,2021,,,,,,20695365.0,,,,,,,
country/DOM,2021,,,,,20695364.0,,,,,,,,
country/EGY,2017,,,213919.38468627943,,,,,,,,,,
country/EGY,2018,,,319782.1369960943,,,,,,,,,,
country/EGY,2019,,,724001.8218360809,,,,,,,,,,
country/EGY,2020,,,671489.1013142472,,,,,,,,,,
country/EGY,2021,,,815457.0458077024,,,,,,,,,,
country/ETH,2013,,,,194370.80000000002,,,,,,,,,
country/ETH,2014,,,,318429.2,,,,,,,,,
country/ETH,2015,,,,288408.4,,,,,,,,,
country/ETH,2016,,,,663496.8,,,,,,,,,
