dcid,year,climateFinanceProvidedDisbursementsMitigationCurrentUSD
country/ESP,2017,13176103.2
country/ESP,2018,15206520.0
country/ESP,2019,9686995.6
country/ESP,2020,6126497.6
country/ESP,2021,27066047.0
country/SWE,2013,74875083.8
country/SWE,2014,69544856.4
country/SWE,2015,72740586.8
country/SWE,2016,70438453.0
country/SWE,2017,95332827.60000001
country/SWE,2018,153925658.4
country/SWE,2019,165154751.4
country/SWE,2020,130176957.4
country/SWE,2021,128304466.60000001
country/CHE,2013,62641297.4
country/CHE,2014,72236023.60000001
country/CHE,2015,59874722.800000004
country/CHE,2016,70809708.2
country/CHE,2017,63840566.2
country/CHE,2018,74192793.2
country/CHE,2019,93301620.4
country/CHE,2020,75995130.2
country/CHE,2021,90989334.0
country/ARE,2013,8569823.0
country/ARE,2014,38082000.0
country/ARE,2015,42142942.4
country/ARE,2016,28930014.0
country/ARE,2017,48780000.0
country/ARE,2018,6977950.0
country/ARE,2019,9199564.0
country/ARE,2020,1344950.0
country/ARE,2021,5477850.0
country/GBR,2013,364147470.2
country/GBR,2014,259628416.4
country/GBR,2015,297710703.4
country/GBR,2016,421371064.0
country/GBR,2017,585160598.6
country/GBR,2018,984429553.6
country/GBR,2019,1044397387.2
country/GBR,2020,874978148.4000001
country/GBR,2021,712138620.6
country/USA,2013,338196608.0
country/USA,2014,522170762.0
country/USA,2015,302345414.2
country/USA,2016,164072515.8
country/USA,2017,147774078.0
country/USA,2018,795013324.0
country/USA,2019,610959268.6
country/USA,2020,695474594.6
country/USA,2021,747267268.0
