dcid,year,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDEUInstitutions,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDFinland,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsAdaptationEquityInvestmentByProviderCurrentUSDSpain
Earth,2013,,1649970.8,80434394.0,,,142515.2
Earth,2014,20410.728891904233,1705216.8,48427756.0,,,225534.40000000002
Earth,2015,6299.826693562364,2813306.4,36809152.4,1081500.0,,933515.2000000001
Earth,2016,176144.6285681805,1297368.0,,,,1027873.6000000001
Earth,2017,95031.46196676689,1226563.2000000002,,,,733466.4
Earth,2018,131777.30447641705,3839830.8000000003,,,,1097728.0
Earth,2019,301699.0748164131,182400.0,50598902.2,,,677445.6000000001
Earth,2020,237181.8959811334,2182859.2,18233618.400000002,,2260478.0,199257.6
Earth,2021,134717.01036142174,3551915.6000000006,13008515.0,,1346050.0,433952.0
country/ETH,2013,,194370.80000000002,,,,
country/ETH,2014,,318429.2,,,,
country/ETH,2015,,288408.4,,,,
country/ETH,2016,,663496.8,,,,
country/ETH,2017,,1037763.6000000001,,,,
country/ETH,2018,,2038003.2000000002,,,,
country/ETH,2021,,220435.2,,,,
country/GEO,2014,,,1326788.0,,,
country/GEO,2015,,,1109262.4000000001,,,
country/MMR,2015,,,,1081500.0,,
country/MMR,2020,,1066543.2,,,,
country/MMR,2021,,800005.2000000001,,,,
country/MUS,2015,,320000.0,,,,
country/NPL,2014,,66000.0,,,,
country/PHL,2014,,272787.60000000003,,,,
country/PHL,2015,,21298.0,,,,
country/TZA,2021,,345000.0,,,,
country/ZAF,2013,,683200.0,,,,
country/ZAF,2014,,590000.0,,,,
country/ZAF,2015,,1811200.0,,,,
