dcid,year,HivPeopleLivingWithHIVReceivingARTPeople
country/AFG,2010,60.0
country/AFG,2012,161.0
country/AFG,2013,214.0
country/AFG,2014,281.0
country/AFG,2017,791.0
country/AFG,2018,924.0
country/ALB,2012,237.0
country/ALB,2013,329.0
country/ALB,2021,759.0
country/ALB,2022,843.0
country/DZA,2019,14390.0
country/DZA,2020,15564.0
country/AGO,2010,22036.0
country/AGO,2011,26556.0
country/AGO,2017,78721.0
country/AGO,2021,128292.0
country/ARG,2012,57502.0
country/ARG,2013,62103.0
country/ARG,2016,75907.0
country/ARG,2017,80508.0
country/ARG,2018,85109.0
country/ARM,2012,449.0
country/AUS,2013,17004.0
country/AUS,2015,19936.0
country/AUS,2017,21996.0
country/AUS,2018,22744.0
country/AUS,2020,24280.0
country/AUS,2021,24587.0
country/AUT,2010,3793.0
country/AUT,2013,4930.0
country/AUT,2016,6079.0
country/AUT,2017,6688.0
country/AZE,2010,435.0
country/AZE,2013,1252.0
country/AZE,2018,4080.0
country/BHS,2021,3048.0
country/BHR,2014,99.0
country/BHR,2015,115.0
country/BGD,2011,664.0
country/BGD,2015,1483.0
country/BGD,2019,3388.0
country/BGD,2020,4194.0
country/BRB,2013,1077.0
country/BRB,2016,1196.0
country/BRB,2020,1406.0
country/BLR,2014,5918.0
country/BLR,2016,8564.0
country/BLR,2019,17714.0
country/BLR,2020,18765.0
country/BEL,2012,10287.0
country/BEL,2018,14911.0
country/BLZ,2015,1290.0
country/BLZ,2016,1391.0
country/BLZ,2019,1581.0
country/BEN,2010,20108.0
country/BEN,2017,38360.0
country/BEN,2018,44232.0
country/BEN,2019,48986.0
country/BTN,2010,64.0
country/BTN,2011,84.0
country/BTN,2016,312.0
country/BTN,2017,396.0
country/BTN,2019,496.0
country/BOL,2013,2965.0
country/BOL,2015,5274.0
country/BOL,2017,7556.0
country/BOL,2021,14648.0
country/BOL,2022,15482.0
country/BWA,2013,223506.0
country/BWA,2014,232292.0
country/BWA,2015,255119.0
country/BWA,2018,307377.0
country/BWA,2020,308195.0
country/BWA,2021,317861.0
country/BRA,2013,343263.0
country/BRA,2016,495111.0
country/BRA,2018,593383.0
country/BRA,2019,633199.0
country/BRA,2020,664624.0
country/BRA,2021,699756.0
country/BRA,2022,730929.0
country/BGR,2010,386.0
country/BGR,2022,2173.0
country/BFA,2010,31543.0
country/BFA,2012,38652.0
country/BFA,2016,57144.0
country/BFA,2019,68739.0
country/BDI,2011,26431.0
country/BDI,2013,32829.0
country/BDI,2014,36796.0
country/BDI,2019,64387.0
country/BDI,2022,68379.0
country/CPV,2013,1292.0
country/CPV,2015,1523.0
country/CPV,2017,1857.0
country/CPV,2021,2847.0
country/CPV,2022,3134.0
country/KHM,2013,48309.0
country/KHM,2018,59209.0
country/CMR,2011,105653.0
country/CMR,2012,122783.0
country/CMR,2015,168249.0
country/CMR,2016,205382.0
country/CMR,2018,281083.0
country/CAN,2010,22544.0
country/CAN,2015,38298.0
country/CAF,2011,14405.0
country/CAF,2013,16568.0
country/CAF,2014,24142.0
country/CAF,2016,31593.0
country/CAF,2019,47032.0
country/TCD,2012,36526.0
country/TCD,2014,41522.0
country/TCD,2016,52542.0
country/TCD,2018,64587.0
country/TCD,2021,83792.0
country/CHL,2011,15617.0
country/CHL,2014,25106.0
country/CHL,2015,28081.0
country/CHL,2018,45103.0
country/CHL,2020,54153.0
country/COL,2011,32857.0
country/COL,2013,48249.0
country/COM,2012,24.0
country/COM,2017,50.0
country/COM,2019,77.0
country/COM,2020,85.0
country/COM,2021,90.0
country/COM,2022,100.0
country/COG,2011,16881.0
country/COG,2015,20682.0
country/CRI,2011,3692.0
country/CRI,2016,6183.0
country/HRV,2015,928.0
country/HRV,2016,1031.0
country/HRV,2022,1424.0
country/CUB,2013,10193.0
country/CUB,2016,17242.0
country/CYP,2011,225.0
country/CYP,2012,308.0
country/CYP,2015,568.0
country/CYP,2019,969.0
country/CYP,2021,1163.0
country/CZE,2010,736.0
country/CZE,2016,1795.0
country/CIV,2010,81458.0
country/CIV,2012,109925.0
country/CIV,2016,189964.0
country/CIV,2020,280848.0
country/COD,2011,53393.0
country/COD,2014,101324.0
country/COD,2020,306124.0
country/DNK,2014,4666.0
country/DNK,2015,4947.0
country/DNK,2016,5207.0
country/DNK,2017,5447.0
country/DJI,2011,1042.0
country/DJI,2012,1287.0
country/DJI,2013,1381.0
country/DJI,2014,1593.0
country/DJI,2016,2229.0
country/DJI,2018,2680.0
country/DJI,2022,2057.0
country/DOM,2015,25235.0
country/DOM,2017,29708.0
country/DOM,2020,38270.0
country/ECU,2012,9396.0
country/ECU,2021,34538.0
country/ECU,2022,38270.0
country/EGY,2010,579.0
country/EGY,2015,2220.0
country/EGY,2016,3168.0
country/EGY,2021,12404.0
country/SLV,2015,10803.0
country/SLV,2018,11862.0
country/GNQ,2013,8261.0
country/GNQ,2014,11362.0
country/ERI,2012,6356.0
country/ERI,2013,7085.0
country/ERI,2019,8835.0
country/ERI,2020,9078.0
country/EST,2010,1809.0
country/EST,2011,2174.0
country/EST,2012,2530.0
country/EST,2017,4137.0
country/SWZ,2011,69110.0
country/SWZ,2012,79524.0
country/SWZ,2014,113669.0
country/SWZ,2016,171276.0
country/SWZ,2017,174095.0
country/SWZ,2018,177156.0
country/SWZ,2020,205266.0
country/SWZ,2021,199947.0
country/AFG,2011,114.0
country/AFG,2021,1141.0
country/AFG,2022,1144.0
country/ALB,2016,514.0
country/ALB,2020,679.0
country/DZA,2010,2221.0
country/DZA,2013,4642.0
country/DZA,2015,7718.0
country/DZA,2016,9551.0
country/AGO,2012,31736.0
country/AGO,2014,63028.0
country/AGO,2015,71541.0
country/ARG,2020,95684.0
country/ARM,2010,250.0
country/ARM,2017,1530.0
country/ARM,2018,1871.0
country/ARM,2022,3134.0
country/AUS,2010,12179.0
country/AUS,2011,13284.0
country/AUS,2019,23727.0
country/AUT,2018,6853.0
country/AUT,2019,6581.0
country/AZE,2015,2299.0
country/AZE,2019,5086.0
country/AZE,2020,5618.0
country/BHS,2011,1349.0
country/BHS,2013,1990.0
country/BHS,2019,3029.0
country/BHS,2022,3017.0
country/BHR,2013,87.0
country/BHR,2020,293.0
country/BHR,2021,276.0
country/BGD,2014,1287.0
country/BGD,2016,1817.0
country/BGD,2017,2470.0
country/BGD,2022,6105.0
country/BRB,2011,929.0
country/BRB,2015,1139.0
country/BRB,2019,1405.0
country/BLR,2013,5181.0
country/BLR,2021,20069.0
country/BEL,2015,13063.0
country/BEL,2019,15348.0
country/BEL,2020,15445.0
country/BEL,2021,16075.0
country/BLZ,2014,1179.0
country/BLZ,2018,1524.0
country/BEN,2011,25535.0
country/BEN,2022,58848.0
country/BTN,2013,156.0
country/BTN,2018,472.0
country/BTN,2020,536.0
country/BOL,2011,1266.0
country/BOL,2012,2346.0
country/BOL,2018,9895.0
country/BWA,2022,320774.0
country/BRA,2010,242911.0
country/BRA,2015,452384.0
country/BRA,2017,547519.0
country/BGR,2021,1933.0
country/BFA,2014,46623.0
country/BFA,2015,52248.0
country/BFA,2017,61509.0
