dcid,year,climateFinanceReceivedCommitmentsAdaptationOdaLoansCurrentUSD
country/IRQ,2017,17604000.0
country/IRQ,2018,135254414.0
country/IRQ,2021,94607379.0
country/JAM,2014,20000000.0
country/JAM,2015,11500000.0
country/JAM,2020,42000000.0
country/JOR,2014,66339392.0
country/JOR,2015,238397115.0
country/JOR,2016,35386487.0
country/JOR,2017,5229600.0
country/JOR,2019,48136124.6
country/JOR,2021,87511826.0
country/KEN,2013,158932400.0
country/KEN,2014,192441762.8
country/KEN,2015,307259342.8
country/KEN,2016,86720000.0
country/KEN,2017,341800000.0
country/KEN,2018,302574254.9208405
country/KEN,2019,68981393.5
country/KEN,2020,866428294.985
country/KEN,2021,251305456.551756
country/XKX,2016,24500000.0
country/XKX,2018,2062500.0
country/XKX,2020,21739160.0
country/XKX,2021,1848575.03047
country/KGZ,2013,21999842.0
country/KGZ,2014,65000.0
country/KGZ,2015,40641681.199999996
country/KGZ,2016,12000885.0
country/KGZ,2018,37043192.0
country/KGZ,2019,25894500.0
country/KGZ,2020,19332650.0
country/KGZ,2021,11952289.1
country/LAO,2013,11210500.0
country/LAO,2014,28000000.0
country/LAO,2015,22222200.0
country/LAO,2016,94437058.4
country/LAO,2017,52604900.0011
country/LAO,2018,34554256.0
country/LAO,2019,82221335.0
country/LAO,2020,1909500.0
country/LAO,2021,9089340.0
country/LBN,2014,3715006.0
country/LBN,2017,3440000.0
country/LSO,2014,8127000.0
country/LSO,2017,439200.0
country/LSO,2018,4000000.0
country/LSO,2019,56525600.0
country/LSO,2021,6047475.71
country/LBR,2015,26000000.0
country/LBR,2017,7501500.0
country/LBR,2018,17014800.0
country/LBR,2019,3135000.0
country/LBR,2020,4230000.0
country/LBR,2021,16597515.6
country/MDG,2013,9718500.0
country/MDG,2014,2112500.0
country/MDG,2015,102794164.0
country/MDG,2016,62894435.4
country/MDG,2017,76104315.2
country/MDG,2018,56667525.461500004
country/MDG,2019,26216448.0
country/MDG,2020,60127110.506
country/MDG,2021,122018010.0
country/MWI,2013,23516660.0
country/MWI,2015,59956832.6
country/MWI,2016,22800000.0
country/MWI,2017,210826500.0
country/MWI,2019,54108389.28
country/MWI,2020,100993007.04
country/MWI,2021,41564219.1600621
country/MDV,2015,6000000.0
country/MDV,2019,5028500.0
country/MDV,2020,12462805.0
country/MDV,2021,5600000.0
country/MLI,2013,38066271.2
country/MLI,2015,48607083.0
country/MLI,2017,56489675.0943
country/MLI,2018,57287858.4
country/MLI,2019,21870630.18223407
country/MLI,2020,132062605.358
country/MLI,2021,55769617.2490174
country/MRT,2013,6761000.0
country/MRT,2019,10777494.0
country/MRT,2020,131460.0
country/MRT,2021,884452.3999999999
country/MEX,2013,3600000.0
country/MEX,2014,132678785.0
country/MEX,2015,44370493.6
country/MEX,2017,90181490.0
country/MEX,2019,53733348.0
country/MEX,2021,152181976.4
country/MDA,2013,32321941.2
country/MDA,2015,24000000.0
country/MDA,2016,37852480.0
country/MDA,2017,10430720.0
country/MDA,2018,9550000.0
country/MDA,2020,15329113.4
country/MDA,2021,950000.0
country/MNG,2016,7248000.0
country/MNG,2018,15000000.0
country/MNG,2019,18228300.0
country/MNG,2020,31127001.529168002
country/MNG,2021,880494.0
country/MNE,2015,12778702.0
country/MNE,2017,24030526.8
country/MNE,2021,23651844.8
country/MAR,2013,22304832.8
country/MAR,2014,51010000.0
country/MAR,2016,46444763.6
country/MAR,2017,75514265.8
country/MAR,2018,48152956.8
country/MAR,2019,126936080.4
country/MAR,2020,79772079.6
country/MAR,2021,165562913.60000002
country/MOZ,2013,70831160.0
country/MOZ,2014,10750000.0
country/MOZ,2015,40528800.0
country/MOZ,2016,23460000.0
country/MOZ,2017,16848000.0
country/MOZ,2019,648878.6347526169
country/MOZ,2021,31467000.0
country/MMR,2014,183759071.60000002
country/MMR,2015,112109740.0
country/MMR,2016,91880000.0
country/MMR,2017,131371703.6
country/MMR,2018,205403404.4
country/MMR,2019,91159240.0
country/MMR,2020,713903924.8
country/NAM,2015,13311146.8
country/NAM,2017,13527224.4
country/NPL,2013,77200000.0
country/NPL,2014,54260000.0
country/NPL,2015,235100000.0
country/NPL,2016,30800000.000000004
country/NPL,2017,401133034.92145
country/NPL,2018,169827039.68
country/NPL,2019,37159000.0
country/NPL,2020,520301574.75
country/NPL,2021,20056455.0
country/NIC,2013,19780348.0
country/NIC,2014,9401000.0
country/NIC,2016,25661200.0
country/NIC,2017,36510800.0
country/NIC,2018,17205500.0
country/NIC,2020,1900000.0
country/NIC,2021,85105944.0
country/NER,2013,107940000.0
country/NER,2015,81780007.62480325
country/NER,2016,120815060.68759838
country/NER,2017,39996184.0
country/NER,2018,41712183.63276
country/NER,2019,147816748.9864421
country/NER,2020,139029981.95235807
country/NER,2021,240846408.7090174
country/NGA,2013,140056478.0
country/NGA,2014,244577002.817
country/NGA,2015,29356628.0
country/NGA,2016,1000000.0
country/NGA,2017,109809000.0
country/NGA,2018,475434106.1504686
country/NGA,2019,40025951.01167667
country/NGA,2020,776504228.0
country/NGA,2021,904879564.0
country/MKD,2019,35822232.0
country/PAK,2013,48306728.400000006
country/PAK,2014,214777665.024
country/PAK,2015,361824300.0
country/PAK,2016,210620000.0
country/PAK,2017,93648000.0
country/PAK,2018,490316300.0
country/PAK,2019,310641901.0
country/PAK,2020,371936590.0
country/PAK,2021,279432066.4
country/PAN,2019,19940234.0
country/PNG,2014,3229000.0
country/PNG,2016,2501270.0
country/PNG,2017,33126654.414189
country/PNG,2020,14760000.0
country/PNG,2021,15150000.0
country/PRY,2017,8400000.0
country/PER,2013,26124069.200000003
country/PER,2014,103847517.0
country/PER,2015,6655574.0
country/PER,2016,9473447.200000001
country/PER,2017,6763611.600000001
country/PER,2018,28325268.400000002
country/PHL,2013,96052000.0
country/PHL,2014,472377713.0
country/PHL,2015,38267041.199999996
country/PHL,2016,63571386.0
country/PHL,2017,227493816.20000002
country/PHL,2019,139042366.4
country/PHL,2020,781039017.6000001
country/PHL,2021,352261061.0
country/RWA,2013,26937414.0
country/RWA,2016,54581040.0
country/RWA,2017,47802000.0
country/RWA,2018,23000000.0
country/RWA,2019,44464193.0
country/RWA,2020,89588202.4
country/RWA,2021,13623540.0
country/LCA,2014,71000000.0
country/LCA,2016,1619999.99
country/LCA,2017,1608000.0
country/LCA,2018,1270000.0
country/LCA,2019,2654400.0
country/LCA,2020,18379000.0
country/LCA,2021,6374430.0
country/VCT,2014,35600000.0
country/VCT,2017,2875250.0
country/VCT,2018,10000.0
country/VCT,2019,12784400.0
country/VCT,2020,14628800.0
country/VCT,2021,29119760.0
country/WSM,2016,1000000.0
country/STP,2015,1996710.0
country/STP,2020,164870.88
country/SEN,2013,90770700.0
country/SEN,2014,39803635.0
country/SEN,2015,146190339.0
country/SEN,2016,220887556.4
country/SEN,2017,135601491.12
country/SEN,2018,125773511.22
country/SEN,2019,35010498.53
country/SEN,2020,26487600.02684
country/SEN,2021,151968833.6693964
country/SRB,2014,38800000.0
country/SRB,2015,6655574.0
country/SRB,2021,35381460.400000006
country/SYC,2013,4199403.6
country/SLE,2013,5376666.66666667
country/SLE,2016,1821381.0
country/SLE,2018,7713743.062301684
country/SLE,2019,4331723.55
country/SLE,2020,3380000.0
country/SLE,2021,2518450.0
country/SLB,2014,1500000.0
country/SLB,2015,3178000.0000000005
country/SLB,2018,263625.0
country/SLB,2019,27553200.0
country/SLB,2021,530877.0
country/ZAF,2013,269308345.0
country/ZAF,2021,94607379.2
country/SSD,2021,827920.0
country/LKA,2013,52402372.800000004
country/LKA,2014,125000000.0
country/LKA,2015,73069600.0
country/LKA,2016,336533336.90000004
country/LKA,2017,148000397.2
country/LKA,2018,2960000.0
country/LKA,2019,199420857.0
country/LKA,2020,46755055.370621
country/LKA,2021,12927246.269347
country/SDN,2015,244228.40000000002
country/SUR,2015,13865779.0
country/TJK,2014,30000000.0
country/TJK,2015,23317500.0
country/TJK,2016,5088840.0
country/TJK,2017,30104000.0
country/TJK,2021,6744750.0
country/TZA,2013,45504196.400000006
country/TZA,2015,186281560.0
country/TZA,2016,46010000.0
country/TZA,2017,154902500.0
country/TZA,2018,55828053.8736
country/TZA,2019,287512785.0
country/TZA,2020,138067240.44
country/TZA,2021,217607610.0
country/TLS,2013,1250000.0
country/TLS,2016,4999755.0
country/TLS,2018,1110000.0
country/TLS,2019,27730000.0
country/TLS,2020,14455000.0
country/TLS,2021,4119800.0
country/TGO,2017,8660400.0
country/TGO,2018,49860519.16764
country/TGO,2019,6574520.0
country/TGO,2020,55355272.3175
country/TGO,2021,46526045.5
country/TON,2014,3780000.0
country/TON,2015,8250000.0
country/TON,2016,2714200.0
country/TON,2017,1573356.312444
country/TUN,2013,48540393.60000001
country/TUN,2014,106397723.4
country/TUN,2015,42684414.2
country/TUN,2016,155700542.0
country/TUN,2017,202939889.51174912
country/TUN,2018,70813171.2
country/TUN,2019,21157505.8
country/TUN,2020,201139601.0
country/TUN,2021,18921476.0
country/TUR,2017,32726211.200000003
country/TUR,2020,56752137.0
country/TUR,2021,193787575.20000002
country/UGA,2013,20000000.0
country/UGA,2014,103520000.0
country/UGA,2016,960000.0
country/UGA,2018,200567972.957
country/UGA,2019,52696920.0
country/UGA,2020,281789320.0
country/UGA,2021,71811005.16
country/UKR,2015,365198995.6
country/UKR,2021,10193945.200000001
country/UZB,2013,2000999.9999999998
country/UZB,2014,242500000.0
country/UZB,2015,9205000.0
country/UZB,2017,141948680.17215002
country/UZB,2018,125593500.0
country/UZB,2019,105651095.0
country/UZB,2020,97778500.0
country/UZB,2021,110973713.4
country/VUT,2015,33835711.2
country/VUT,2016,25503401.5
country/VUT,2017,8987000.0
country/VUT,2020,35500000.0
country/VUT,2021,23400000.0
country/VNM,2013,440105501.4
country/VNM,2014,318600743.6
country/VNM,2015,406182629.6
country/VNM,2016,642247727.0
country/VNM,2017,538209992.4
country/VNM,2018,212660400.0
country/VNM,2019,127622612.0
country/VNM,2020,225902205.2
country/VNM,2021,130742395.110972
country/ZMB,2013,101934660.0
country/ZMB,2014,19916400.0
country/ZMB,2016,21560000.0
country/ZMB,2017,12724023.2
country/ZMB,2018,27000000.0
country/ZMB,2019,71290000.0
country/ZMB,2020,36540000.0
country/ZMB,2021,10630003.2
country/ZWE,2021,13760600.0
