dcid,year,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDAustria,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDBelgium,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDCanada,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDFrance,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDGermany,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDInternationalDevelopmentAssociation,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDItaly,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDJapan,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDKorea,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDNordicDevelopmentFund,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDSpain,climateFinanceReceivedDisbursementsCrossCuttingOdaLoansByProviderCurrentUSDUnitedArabEmirates
Earth,2013,,2898225.2,,6909810.0,92873133.0,34582320.400000006,,9164710.12,608972.8,250583783.6,19622490.0,,,
Earth,2014,,256106.80000000002,,,227433132.0,105123101.6,,57269306.18,,125201559.2,,,,
Earth,2015,,,,,327382141.0,56492614.4,,63760548.76,941440.8,260257069.6,10569229.2,,,
Earth,2016,,,,,257529582.0,31166960.0,,22397939.56,16090.400000000001,226634946.0,3815370.0,,,
Earth,2017,,,114397970.0,7014297.0,121934191.0,137204441.20000002,,,47082750.400000006,182539210.0,9894301.6,,,
Earth,2018,,,149294040.0,1449886.0,236307936.4,71968776.80000001,1301571.042,3704067.99,4720878.0,5356200.600000001,8651853.600000001,,,2879392.0
Earth,2019,,,170401344.0,,193077047.4,154575716.8,,5277998.6,4866776.4,8341559.199999999,9158328.4,,768863.2000000001,3966240.4000000004
Earth,2020,2279202.4,,184072045.0,3392502.0,457897104.6,95590494.0,220178.1414,5233249.25,86312119.2,6580314.800000001,9329649.2,11396011.0,,
Earth,2021,7095553.600000001,,55109617.0,5078539.0,38159536.8,117557369.60000001,4836507.4799999995,5197726.22,155362008.0,8218175.600000001,102593494.4,3421814.0,1731000.0,
country/ALB,2013,,,,,,3035266.4000000004,,,,,,,,
country/ALB,2014,,,,,,8833623.2,,,,,,,,
country/ALB,2015,,,,,,11698399.200000001,,,,,,,,
country/ALB,2016,,,,,,6674184.4,,,,,,,,
country/ALB,2017,,,,,,2507802.0,,,,,,,,
country/ALB,2018,,,,,,4382971.2,,,,,,,,
country/ALB,2019,,,,,,2014694.8000000003,,,,,,,,
country/ALB,2020,,,,,,2374173.2,,,,,,,,
country/ALB,2021,,,,,,52931359.6,,,,,,,,
country/ARM,2016,,,,,,419165.20000000007,,,,,,,,
country/ARM,2019,,,,,,17911116.0,,,,,,,,
country/ARM,2020,,,,,,58235.600000000006,,,,,,,,
country/ARM,2021,,,,,,28145.600000000002,,,,,,,,
country/ATG,2018,,,,,,,,,,,,,,1808876.0
