dcid,year,healthExpenditurePrivateExcludingOopCurrentUSD
country/DZA,2000,41862518.6050763
country/DZA,2001,43242835.30360163
country/DZA,2002,45560834.96728876
country/DZA,2003,51489130.91579912
country/DZA,2004,75768376.06738193
country/DZA,2005,84672535.86105646
country/DZA,2006,92805363.73311271
country/DZA,2007,106128900.8806159
country/DZA,2008,130840797.56343801
country/DZA,2009,118756558.50345671
country/DZA,2010,132583555.38872786
country/DZA,2011,156923604.52595177
country/DZA,2012,165919574.0052686
country/DZA,2013,173439286.11575848
country/DZA,2014,181658315.0157161
country/DZA,2015,151208672.14331073
country/DZA,2016,148967448.266191
country/DZA,2017,158446094.1326424
country/DZA,2018,161850275.95654583
country/DZA,2019,161553378.81195724
country/DZA,2020,146522130.4302537
country/AGO,2000,29777906.03945512
country/AGO,2001,38406676.23644677
country/AGO,2002,49651326.041717134
country/AGO,2003,57777073.38056495
country/AGO,2004,80962735.86105323
country/AGO,2005,103290162.13101363
country/AGO,2006,136505054.20668024
country/AGO,2007,214018184.86095107
country/AGO,2008,338440072.19567084
country/AGO,2009,350924368.58883625
country/AGO,2010,345400950.7376728
country/AGO,2011,425524844.77267456
country/AGO,2012,458665987.78929543
country/AGO,2013,525099675.46165156
country/AGO,2014,560412800.6699451
country/AGO,2015,497803821.30561644
country/AGO,2016,466725442.31050277
country/AGO,2017,562006795.1408734
country/AGO,2018,464101831.12169385
country/AGO,2019,397526408.38009757
country/AGO,2020,282103603.79406554
country/BWA,2000,59573158.56788433
country/BWA,2001,64960771.45555442
country/BWA,2002,66975225.603982426
country/BWA,2003,92302402.08229506
country/BWA,2004,109275568.55661689
country/BWA,2005,113053099.41466752
country/BWA,2006,115261407.22432807
country/BWA,2007,125684677.92091809
country/BWA,2008,123155116.0062646
country/BWA,2009,239243252.16015986
country/BWA,2010,256204543.91285944
country/BWA,2011,258735808.0698232
country/BWA,2012,235328601.09874648
country/BWA,2013,217501158.48865294
country/BWA,2014,186244678.51494232
country/BWA,2015,178648665.84054452
country/BWA,2016,213195461.30648264
country/BWA,2017,125305365.46062185
country/BWA,2018,182861546.69496733
country/BWA,2019,148306225.5032907
country/BWA,2020,138424545.457534
