dcid,year,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDDevelopmentBankofLatinAmerica,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDGlobalGreenGrowthInstitute,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIDBInvest,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDInternationalFinanceCorporation,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIslamicDevelopmentBank
Earth,2013,,179353800.0,132609052.4,,,129447689.85000001,,,,,,8616003.4464,
Earth,2014,64700000.0,539935000.0,63076000.0,5000000.0,,68462252.889,,,,,2183490.0,,
Earth,2015,28924063.0,16260458.7,,,,204244603.88446194,,,,11852000.0,,12000000.0,
Earth,2016,137676872.0,,,,,88154602.45040196,2809754.48,,11400000.0,,,,
Earth,2017,300791370.2133429,37722178.91448617,47490000.0,,,125993293.07785185,,,13041000.0,12461600.0,,43960000.0,
Earth,2018,,,,,,146426799.004,,60748483.3249144,25000000.0,,,,
Earth,2019,32973749.479999997,2901633.0,,,,161437964.52612,156559.5256,,201500000.0,,,20857256.400000002,
Earth,2020,,,,,1610947328.272,247825500.0,75184.38399999999,,28135000.0,,,89767053.336,57515400.0
Earth,2021,91596330.3415,88096301.88,,,,179722424.5340426,101178.2412,217655056.73635,228503235.52,,,13743000.000000002,337000.0
country/AFG,2013,,,2000000.0,,,,,,,,,,
country/AGO,2018,,,,,,15342853.77,,,,,,,
country/AGO,2019,32973749.479999997,,,,,,,,,,,,
country/ALB,2019,,,,,,626889.063,,,,,,,
country/ARG,2018,,,,,,9463934.275,,,,,,,
country/ARG,2020,,,,,362300000.0,,,,,,,,
country/ARG,2021,,,,,,54731215.0,,,,,,,
country/ARM,2016,,,,,,3919919.4299458098,,,,,,,
country/BDI,2014,,1000000.0,,,,,,,,,,,
country/BEN,2014,,920000.0,,,,,,,,,,,
