dcid,year,climateFinanceReceivedDisbursementsOdaLoansCurrentUSD
Earth,2013,4925045866.261832
Earth,2014,4767893498.476573
Earth,2015,5981412523.018945
Earth,2016,7194267977.587415
Earth,2017,8605634814.180546
Earth,2018,8609934654.0803
Earth,2019,11225227365.044914
Earth,2020,11925384807.750647
Earth,2021,13128354373.60313
country/ALB,2013,6524435.600000001
country/ALB,2014,10921043.6
country/ALB,2015,16936070.400000002
country/ALB,2016,14888876.8
country/ALB,2017,2758981.6
country/ALB,2018,9046294.0
country/ALB,2019,12463382.8
country/ALB,2020,13338694.8
country/ALB,2021,64779877.199999996
country/DZA,2013,4211873.0
country/AGO,2015,78147274.8
country/AGO,2019,657117.0
country/AGO,2020,2200460.0
country/AGO,2021,2389081.0
country/ATG,2018,1808876.0
country/ATG,2019,2021236.0
country/ATG,2021,98012.40000000001
country/ARG,2017,316000.0
country/ARG,2018,27224.0
country/ARG,2020,825483.2000000001
country/ARG,2021,1501769.6
country/ARM,2013,8495624.8
country/ARM,2014,11586447.200000001
country/ARM,2015,10829064.6
country/ARM,2016,31623461.51616081
country/ARM,2017,44454696.4
country/ARM,2018,41690912.2
country/ARM,2019,31700209.0
country/ARM,2020,21073119.6
country/ARM,2021,47821900.0
country/AZE,2013,3331333.6
country/AZE,2014,3311198.8
country/AZE,2015,1770877.5999999999
country/AZE,2016,3237435.6
country/AZE,2017,1442854.4000000001
country/AZE,2018,11389542.4
country/AZE,2019,55688856.8
country/AZE,2020,36850014.0
country/AZE,2021,41861085.0
country/BGD,2013,151160287.4
country/BGD,2014,189916723.45486647
country/BGD,2015,343966606.94533104
country/BGD,2016,395476879.17886406
country/BGD,2017,743301707.200266
country/BGD,2018,729591099.1943216
country/BGD,2019,895056015.3473039
country/BGD,2020,839536104.8559711
country/BGD,2021,1096868307.1958025
country/BLR,2019,2350833.9862
country/BLR,2020,3669515.652702768
country/BEN,2014,967097.0
country/BEN,2016,557491.0
country/BEN,2017,8519046.48
country/BEN,2018,18835780.484612804
country/BEN,2019,13905135.64400832
country/BEN,2020,34839567.4264
country/BEN,2021,30823064.845973786
country/BTN,2013,10391749.0
country/BTN,2014,1205413.0
country/BTN,2015,903889.0
country/BTN,2016,193010.0
country/BTN,2017,112234.0
country/BTN,2018,3402844.1336000045
country/BTN,2019,4865921.457599983
country/BTN,2020,17430613.858399965
country/BTN,2021,12013209.099800007
country/BOL,2013,339829.60000000003
country/BOL,2014,9849802.4
country/BOL,2015,94713219.2
country/BOL,2016,133960226.9
country/BOL,2017,237111804.6
country/BOL,2018,108340718.4
country/BOL,2019,165042960.49
country/BOL,2020,37164831.8
country/BOL,2021,25813307.5
country/BIH,2013,9911076.0
country/BIH,2014,6733498.2
country/BIH,2015,18253187.0
country/BIH,2016,56163724.2
country/BIH,2017,54146043.0
country/BIH,2018,28665612.7687
country/BIH,2019,27878224.39003499
country/BIH,2020,64732802.288887724
country/BIH,2021,61479375.332756735
country/BRA,2013,88607393.8
country/BRA,2014,463372444.6
country/BRA,2015,192893133.6
country/BRA,2016,159394065.0
country/BRA,2017,44890310.2
country/BRA,2018,116218932.0
country/BRA,2019,136694902.0
country/BRA,2020,189950850.6
country/BRA,2021,514292020.0
country/BFA,2013,906071.2000000001
country/BFA,2014,1121498.34
country/BFA,2015,950983.9000000001
country/BFA,2016,8130328.450220399
country/BFA,2017,27151836.76
country/BFA,2018,22703106.801774196
country/BFA,2019,27981987.248398233
country/BFA,2020,83825188.97886005
country/BFA,2021,73506614.84399563
country/CPV,2013,25934842.4
country/CPV,2014,18165623.0
country/CPV,2015,16721007.0
country/CPV,2016,9586251.0
country/CPV,2017,5641049.0
country/CPV,2018,9808714.0
country/CPV,2019,3657010.5713603827
country/CPV,2020,8146910.539427853
country/CPV,2021,5085458.671087793
country/KHM,2013,7601965.2
country/KHM,2014,502515.00000000006
country/KHM,2015,2119825.1037037037
country/KHM,2016,7684811.703703704
country/KHM,2017,22025988.02222222
country/KHM,2018,52071864.44256296
country/KHM,2019,243134985.34497955
country/KHM,2020,138494793.23432964
country/KHM,2021,190410300.66172963
country/CMR,2013,1320716.0
country/CMR,2014,3501157.44
country/CMR,2015,311058.03
country/CMR,2016,5566866.0
country/CMR,2017,28151872.0
country/CMR,2018,12033665.359592464
country/CMR,2019,106736413.1052
country/CMR,2020,44811323.255776644
country/CMR,2021,68170608.00470564
country/CHL,2014,21127239.0
country/CHL,2015,4903900.0
country/CHL,2016,153673185.8
country/CHL,2017,32402072.0
country/CHN,2013,147278912.6
country/CHN,2014,51153145.0
country/CHN,2015,87935664.8
country/CHN,2016,118114253.00000001
country/CHN,2017,141753880.0
country/CHN,2018,80529273.8
country/CHN,2019,110266433.2
country/CHN,2020,116005937.0
country/CHN,2021,62218835.8
country/COL,2013,97997286.4
country/COL,2014,54761540.0
country/COL,2015,347410397.2
country/COL,2016,250601073.6
country/COL,2017,38583512.00000001
country/COL,2018,294807794.8
country/COL,2019,6346159.4
country/COL,2020,231408139.0
country/COL,2021,270478221.4
country/COM,2018,73320.33778066807
country/COM,2019,79167.44833581464
country/COM,2020,93987.15167241708
country/COM,2021,4260593.542718431
country/COG,2017,3755566.0
country/COG,2018,478126.17000000004
country/COG,2019,1927785.2000000002
country/COG,2020,3150885.316048782
country/COG,2021,2153150.74
country/CRI,2015,22985266.0
country/CRI,2016,24582019.0
country/CRI,2017,34282675.0
country/CRI,2018,32059302.2
country/CRI,2019,12183237.8
country/CRI,2020,5410889.600000001
country/CRI,2021,5084034.4
country/CUB,2018,4701880.0
country/CUB,2019,5359294.0
country/CUB,2020,7174216.4
country/CUB,2021,4987048.4
country/CIV,2016,12571401.81
country/CIV,2017,16541244.26
country/CIV,2018,28074613.0245
country/CIV,2019,185263216.6412
country/CIV,2020,190429812.2233
country/CIV,2021,179583352.65343568
country/COD,2013,278264.0
country/COD,2018,1153250.0
country/COD,2019,1708893.85
country/COD,2020,9668844.82
country/COD,2021,48937077.374959216
country/DJI,2015,286550.02999999997
country/DJI,2016,713991.96
country/DJI,2018,4440207.63
country/DJI,2019,15184834.985305551
country/DJI,2020,904634.6495108062
country/DJI,2021,5521156.619899999
country/DMA,2013,2791792.0
country/DMA,2014,753545.0
country/DMA,2015,1000000.0
country/DMA,2018,2250000.0
country/DMA,2019,2369529.2
country/DMA,2020,9779118.06
country/DMA,2021,12553481.2776
country/DOM,2013,5212030.2
country/DOM,2015,2168231.2
country/DOM,2016,23149487.0
country/DOM,2017,18779986.0
country/DOM,2018,1669298.8
country/DOM,2019,28687900.6
country/DOM,2020,75536637.8
country/DOM,2021,82376611.0
country/ECU,2013,368151.2
country/ECU,2014,262432.8
country/ECU,2015,55952787.0
country/ECU,2016,56829438.4
country/ECU,2017,18001888.8
country/ECU,2018,27617988.400000002
country/ECU,2019,139910992.4
country/ECU,2020,123632908.8
country/ECU,2021,31201044.6
country/EGY,2013,64791732.07556042
country/EGY,2014,79938885.02579482
country/EGY,2015,151807680.547638
country/EGY,2016,187953660.8
country/EGY,2017,280896382.2
country/EGY,2018,151553844.8
country/EGY,2019,214803549.1276031
country/EGY,2020,281613501.721336
country/EGY,2021,447650859.5778398
country/SLV,2013,11254580.0
country/SLV,2014,111778.8
country/SLV,2015,2859311.4
country/SLV,2016,17474307.799999997
country/SLV,2017,9946170.200000001
country/SLV,2018,1399255.6
country/SLV,2019,3320268.8000000003
country/SLV,2020,61108686.2
country/SLV,2021,10830604.799999999
country/ETH,2013,25077070.0
country/ETH,2014,6008165.56
country/ETH,2015,45408149.96
country/ETH,2016,44416990.92
country/ETH,2017,13171530.290000001
country/ETH,2018,158244213.7955
country/ETH,2019,204653767.32680002
country/ETH,2020,292905121.2343
country/ETH,2021,73021656.5406
country/FJI,2020,8055270.4
country/FJI,2021,49952202.142771855
country/GAB,2013,1364955.0
country/GAB,2017,178851.0
country/GMB,2014,129860.0
country/GMB,2015,613049.62
country/GMB,2016,2304436.5979443016
country/GMB,2017,3928897.5
country/GMB,2018,8629410.25508281
country/GMB,2019,144780.27985789257
country/GMB,2020,5259739.0
country/GMB,2021,10259485.0
country/GEO,2013,3457722.0
country/GEO,2014,2884129.0
country/GEO,2015,16423275.799999999
country/GEO,2016,7761378.140000001
country/GEO,2017,24759163.46919878
country/GEO,2018,51013437.60265726
country/GEO,2019,140561662.84
country/GEO,2020,246872558.52596977
country/GEO,2021,185790457.5464643
country/GHA,2013,19674931.2
country/GHA,2014,288438.4
country/GHA,2015,316257.6
country/GHA,2016,60860.4
country/GHA,2017,65493.600000000006
country/GHA,2018,2782585.709545961
country/GHA,2019,52074305.30340159
country/GHA,2020,72995848.09325168
country/GHA,2021,86221788.74204174
country/GRD,2013,1103234.0
country/GRD,2014,4347520.0
country/GRD,2018,14580504.5
country/GRD,2020,1668560.43
country/GRD,2021,4441404.21
country/GTM,2019,18743820.0
country/GTM,2020,4077722.201
country/GIN,2015,13673.94
country/GIN,2016,7589328.0
country/GIN,2017,4001812.5
country/GIN,2018,16735814.64
country/GIN,2019,26976152.420199998
country/GIN,2020,11439312.4762
country/GIN,2021,27613670.780534033
country/GNB,2016,130118.00000000001
country/GNB,2018,11318005.901781842
country/GNB,2019,7797411.913822861
country/GNB,2020,19517341.955606744
country/GNB,2021,11485733.597339863
country/GUY,2013,16920000.0
country/GUY,2015,2660630.0
country/GUY,2016,189308.0
country/GUY,2017,66543.07470506555
country/GUY,2018,387927.6914574
country/GUY,2019,187012.76023873664
country/GUY,2020,83127.11587767444
country/GUY,2021,2378043.10748237
