dcid,year,climateFinanceReceivedDisbursementsAdaptationOdaGrantsCurrentUSD
Earth,2013,2324766767.515982
Earth,2014,2421244993.8880796
Earth,2015,2505888680.084091
Earth,2016,2725170725.478008
Earth,2017,3068051714.754843
Earth,2018,3636055529.66235
Earth,2019,4422830291.83329
Earth,2020,5350333090.23404
Earth,2021,4913789579.481343
country/AFG,2013,28301031.6
country/AFG,2014,27985426.0
country/AFG,2015,65921757.2
country/AFG,2016,30241344.0
country/AFG,2017,39513114.2575
country/AFG,2018,44778981.9318
country/AFG,2019,53562487.3375
country/AFG,2020,50804307.6614
country/AFG,2021,55645966.9226
country/ALB,2013,5945986.2
country/ALB,2014,2604598.8000000003
country/ALB,2015,13672284.8
country/ALB,2016,3406640.0
country/ALB,2017,12108890.0
country/ALB,2018,9774125.8
country/ALB,2019,5475284.4
country/ALB,2020,13599762.6
country/ALB,2021,4139305.8000000003
country/DZA,2013,949638.0000000001
country/DZA,2014,848849.0
country/DZA,2015,1397807.8
country/DZA,2016,1968491.5017386
country/DZA,2017,3175202.8000000003
country/DZA,2018,4592623.341444259
country/DZA,2019,3845039.7415357637
country/DZA,2020,3888944.4000000004
country/DZA,2021,4665794.664663718
country/AGO,2013,1877640.6
country/AGO,2014,1726168.6
country/AGO,2015,933419.6000000001
country/AGO,2016,5641856.2
country/AGO,2017,1373573.4
country/AGO,2018,1536201.8
country/AGO,2019,1897954.2000000002
country/AGO,2020,3511855.2
country/AGO,2021,6558461.2
country/ATG,2013,54785.2
country/ATG,2016,1036647.6
country/ATG,2017,1571000.0
country/ATG,2018,806974.0
country/ATG,2019,8944693.6
country/ATG,2020,2596186.8
country/ATG,2021,1544714.4
country/ARG,2013,4476255.8
country/ARG,2014,1258187.2039
country/ARG,2015,764516.0
country/ARG,2016,4343459.2
country/ARG,2017,874754.0
country/ARG,2018,2519188.8
country/ARG,2019,3217323.4
country/ARG,2020,3710686.4
country/ARG,2021,2914375.8000000003
country/ARM,2013,1492542.4000000001
country/ARM,2014,554264.0
country/ARM,2015,1542084.0
country/ARM,2016,2262657.6
country/ARM,2017,3590066.4
country/ARM,2018,1453170.8
country/ARM,2019,2233787.8
country/ARM,2020,4993922.8
country/ARM,2021,5128205.44
country/AZE,2013,5838386.600000001
country/AZE,2014,17840582.6
country/AZE,2015,4491123.4
country/AZE,2016,28064.4
country/AZE,2017,51028.8
country/AZE,2018,74344.20000000001
country/AZE,2019,11136.800000000001
country/AZE,2020,242802.80000000002
country/AZE,2021,1530159.4000000001
country/BGD,2013,50278109.6
country/BGD,2014,50420714.0
country/BGD,2015,44466698.0
country/BGD,2016,78131362.8
country/BGD,2017,99411849.0126
country/BGD,2018,115193601.419
country/BGD,2019,195204575.5213547
country/BGD,2020,164498541.43666518
country/BGD,2021,85321385.7452192
country/BLR,2013,872151.2000000001
country/BLR,2014,99756.8
country/BLR,2015,64363.200000000004
country/BLR,2016,67986.8
country/BLR,2017,59330.8
country/BLR,2018,151857.4
country/BLR,2019,110704.0
country/BLR,2020,404902.2
country/BLR,2021,183621.0
country/BLZ,2013,286510.4
country/BLZ,2014,3451328.0
country/BLZ,2015,79737.20000000001
country/BLZ,2016,3601474.0
country/BLZ,2017,530705.6
country/BLZ,2018,1349027.4
country/BLZ,2019,1611511.6
country/BLZ,2020,578058.2
country/BLZ,2021,3770663.6
country/BEN,2013,15891350.4
country/BEN,2014,18387853.8
country/BEN,2015,12987102.200000001
country/BEN,2016,20398896.200000003
country/BEN,2017,33904151.4
country/BEN,2018,42095992.1472
country/BEN,2019,32518327.248
country/BEN,2020,72947587.72196633
country/BEN,2021,43723409.05220679
country/BTN,2013,3425286.8
