dcid,year,principalRepaymentsCurrentUSD
country/AFG,2012,1613738.5
country/AFG,2016,26797293.1
country/AFG,2020,26424557.5
country/AFG,2024,100366560.9
country/AFG,2026,96407856.1
country/AFG,2027,95535520.6
country/AFG,2009,3140000.0
country/AFG,2014,12102333.3
country/AFG,2017,26850342.2
country/AFG,2019,31037634.9
country/AFG,2023,95186190.2
country/AFG,2025,98079867.7
country/AFG,2028,95292987.5
country/ALB,1996,5311429.4
country/ALB,1997,7953237.4
country/ALB,2001,12375645.8
country/ALB,2003,28172277.7
country/ALB,2012,351369542.8
country/ALB,2013,345613111.8
country/ALB,2020,947591130.9
country/ALB,2021,692868776.3
country/ALB,2024,1127922172.3
country/ALB,2028,525529509.6
country/ALB,1993,5032389.7
country/ALB,2004,42330425.2
country/ALB,2016,487896813.0
country/ALB,2018,921519942.6
country/ALB,2022,1528820014.3
country/ALB,2025,1426168980.1
country/AFG,2006,3493000.0
country/AFG,2007,1272000.0
country/AFG,2008,1296000.0
country/AFG,2010,966000.0
country/AFG,2015,23818050.9
country/AFG,2018,30519520.6
country/AFG,2021,14054000.0
country/AFG,2022,94415344.4
country/AFG,2011,862000.0
country/AFG,2013,4155110.6
country/ALB,1991,803337.7
country/ALB,1999,11280554.8
country/ALB,2002,22246431.6
country/ALB,2005,52641134.3
country/ALB,2006,110209731.3
country/ALB,2008,143691993.4
country/ALB,2009,122402233.9
country/ALB,2011,301985807.6
country/ALB,2017,407059078.1
country/ALB,2027,1201627194.3
country/ALB,1994,8084293.3
country/ALB,1995,412150.1
country/ALB,1998,10433000.3
country/ALB,2000,9148784.9
country/ALB,2007,87184507.2
country/ALB,2010,250090587.8
country/ALB,2014,537253181.8
country/ALB,2015,1072718240.1
country/ALB,2019,497551915.0
country/ALB,2023,1208915703.3
country/ALB,2026,740095363.3
country/DZA,1978,903604864.2
country/DZA,1985,3476578968.0
country/DZA,1994,3357554956.2
country/DZA,1998,2704064062.0
country/DZA,2001,2814110513.5
country/DZA,2002,2649226610.3
country/DZA,2010,557409919.2
country/DZA,2013,464219903.1
country/DZA,2021,146598029.2
country/DZA,2023,140434137.0
country/AGO,1994,153295191.0
country/AGO,1997,816341436.9
country/AGO,1998,1284570825.2
country/AGO,2000,1530133178.4
country/AGO,2006,3508619541.3
country/AGO,2014,6399307786.3
country/AGO,2025,8245881449.1
country/AGO,2027,5373804341.5
country/AGO,2028,5483499755.6
country/DZA,1970,34566405.5
country/DZA,1972,138428036.7
country/DZA,1976,439849280.5
country/DZA,1984,3600373631.5
country/DZA,1986,3573815908.5
country/DZA,1987,3819637956.2
country/DZA,1989,5118180484.0
country/DZA,1992,7078781725.6
country/DZA,1996,1968106008.0
country/DZA,1999,3026455807.1
country/DZA,2003,2780866447.4
country/DZA,2004,4333983984.3
country/DZA,2007,1137091239.2
country/DZA,2009,909644498.8
country/DZA,2011,535996807.5
country/DZA,2012,732157083.6
country/DZA,2017,175828883.2
country/DZA,2018,150605082.9
country/DZA,2019,117670388.9
country/DZA,2028,88330772.7
country/AGO,1995,335208678.8
country/AGO,2001,2083958049.7
country/AGO,2003,1316585486.1
country/AGO,2009,3538328663.0
country/AGO,2010,2639392246.8
country/AGO,2016,8173826911.3
country/AGO,2021,8984723996.0
country/AGO,2023,9303442668.0
country/DZA,1971,52629637.3
country/DZA,1973,232891396.7
country/DZA,1975,252262551.7
country/DZA,1977,646069044.0
country/DZA,1979,1563384907.3
country/DZA,1980,2528495125.4
country/DZA,1982,2953979008.9
country/DZA,1983,3312280108.6
country/DZA,1988,4592078859.4
country/DZA,1990,6782959837.2
country/DZA,1993,6981928258.8
country/DZA,2015,581962207.7
country/DZA,2024,135833241.1
country/DZA,2026,101069965.7
country/DZA,2027,95400768.1
country/AGO,1990,182632302.3
country/AGO,1999,1269938131.2
country/AGO,2005,2288858416.3
country/AGO,2007,3783730205.2
country/AGO,2011,3523970346.7
country/AGO,2013,4399804563.0
country/AGO,2019,8810501102.3
country/AGO,2022,9473158007.6
country/AGO,2024,8533850191.4
country/DZA,1974,491799292.3
country/DZA,1981,2552041168.9
country/DZA,1991,7223959802.8
country/DZA,1995,2248095900.8
country/DZA,1997,2019298533.6
country/DZA,2000,2719381623.9
country/DZA,2005,4447684389.0
country/DZA,2006,12790327889.7
country/DZA,2008,1052083720.1
country/DZA,2014,234669416.3
country/DZA,2016,301851942.5
country/DZA,2020,118548250.5
country/DZA,2022,165787863.2
country/DZA,2025,106039213.6
country/AGO,1989,139630329.2
country/AGO,1991,232466118.5
country/AGO,1992,144023383.7
country/AGO,1993,62876532.1
country/AGO,1996,654263311.5
country/AGO,2002,1284812600.3
country/AGO,2004,1701660087.1
country/AGO,2008,1133083526.7
country/AGO,2012,5149535435.2
country/AGO,2015,6740035012.2
country/AGO,2017,7391299555.7
country/AGO,2018,8144124436.0
country/AGO,2020,5815976633.4
country/AGO,2026,5869529616.1
country/ARG,1970,776603496.2
country/ARG,1971,731439572.2
country/ARG,1981,1964243877.8
country/ARG,1982,1309187912.9
country/ARG,1985,1031916644.1
country/ARG,1992,1179846816.6
country/ARG,1997,8342643578.2
country/ARG,2002,2469467492.2
country/ARG,2003,6503244083.1
country/ARG,2008,5663818866.7
country/ARG,2011,12076259957.6
country/ARG,2012,9786322596.6
country/ARG,2014,9755187147.0
country/ARG,2015,10820690797.0
country/ARG,2023,26943237548.7
country/ARG,2024,10036188695.7
country/ARG,2027,6874836984.3
country/ARG,1972,768447753.4
country/ARG,1973,922900421.5
country/ARG,1974,1006801038.6
country/ARG,1978,2049517240.8
country/ARG,1980,1923368449.5
country/ARG,1983,1382484189.0
country/ARG,1986,2061581319.5
country/ARG,1989,1530526085.6
country/ARG,1991,1534349695.5
country/ARG,2005,3490622749.8
country/ARG,2009,11306263723.5
country/ARG,2016,11676659064.6
country/ARG,1975,982932738.5
country/ARG,1976,1066370654.1
country/ARG,1984,842961891.4
country/ARG,1987,1555235112.1
country/ARG,1993,2227375711.0
country/ARG,1995,3073505164.4
country/ARG,1996,6369402071.6
country/ARG,1999,13961331534.8
country/ARG,2000,11688607649.8
country/ARG,2004,4980521427.5
country/ARG,2006,5121042730.7
country/ARG,2010,11689984678.2
country/ARG,2013,11761460426.4
country/ARG,2018,28201831278.2
country/ARG,2020,21685504564.4
country/ARG,2025,6681790557.0
country/ARG,2028,4101964896.6
country/ARG,1977,1162255979.9
country/ARG,1979,1313911804.5
country/ARG,1988,1426644511.9
country/ARG,1990,2761081386.8
country/ARG,1994,1520637774.8
country/ARG,1998,9802881570.7
