dcid,year,HivNewInfectionsMalePeople
country/AFG,1990,500.0
country/AFG,1993,500.0
country/AFG,1995,500.0
country/AFG,1999,500.0
country/AFG,2016,1000.0
country/AFG,2020,1000.0
country/AFG,2022,1000.0
country/ALB,1992,100.0
country/ALB,1993,100.0
country/ALB,1994,100.0
country/ALB,1995,100.0
country/ALB,1996,100.0
country/ALB,2000,100.0
country/ALB,2001,100.0
country/ALB,2009,100.0
country/ALB,2012,100.0
country/ALB,2014,100.0
country/ALB,2016,100.0
country/ALB,2018,100.0
country/DZA,1992,100.0
country/DZA,1995,500.0
country/DZA,1999,500.0
country/DZA,2004,500.0
country/DZA,2009,1000.0
country/DZA,2010,1000.0
country/DZA,2012,1000.0
country/DZA,2016,1000.0
country/AGO,1993,4400.0
country/AGO,1995,5700.0
country/AGO,2001,9600.0
country/AGO,2005,12000.0
country/AGO,2013,11000.0
country/AGO,2018,8000.0
country/AGO,2020,6700.0
country/AGO,2022,5700.0
country/ARM,2002,100.0
country/ARM,2009,500.0
country/ARM,2011,500.0
country/ARM,2015,500.0
country/ARM,2021,500.0
country/ARM,2022,500.0
country/AUS,1990,1000.0
country/AUS,1993,1000.0
country/AUS,1994,1000.0
country/AUS,1997,1000.0
country/AUS,2003,1000.0
country/AUS,2010,1000.0
country/AUS,2012,1000.0
country/AUS,2013,1000.0
country/AUS,2017,1000.0
country/AUS,2019,1000.0
country/AZE,1990,100.0
country/AZE,1996,500.0
country/AZE,1999,500.0
country/AZE,2004,1000.0
country/AZE,2009,1000.0
country/AZE,2012,500.0
country/AZE,2013,500.0
country/AZE,2017,500.0
country/BHS,1995,500.0
country/BHS,1996,500.0
country/BHS,1998,500.0
country/BHS,2006,500.0
country/BHS,2009,100.0
country/BHS,2012,100.0
country/BHS,2013,100.0
country/BHS,2022,100.0
country/BGD,1994,100.0
country/BGD,1996,100.0
country/BGD,1998,500.0
country/BGD,2002,1000.0
country/BGD,2014,1000.0
country/BGD,2016,1000.0
country/BGD,2018,1000.0
country/BGD,2020,1000.0
country/BRB,1990,100.0
country/BRB,1991,100.0
country/BRB,1997,500.0
country/BRB,1999,500.0
country/BRB,2000,100.0
country/BRB,2011,100.0
country/BRB,2017,100.0
country/BLR,1990,100.0
