placeDcid,placeName,Date:Median_Age_Person,Value:Median_Age_Person,Source:Median_Age_Person,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/06001,Alameda County,2020,37.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,1648556,https://www2.census.gov/programs-surveys/popest/tables
geoId/06003,Alpine County,2020,47.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,1235,https://www2.census.gov/programs-surveys/popest/tables
geoId/06005,Amador County,2020,49.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,41259,https://www2.census.gov/programs-surveys/popest/tables
geoId/06007,Butte County,2020,36.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,208309,https://www2.census.gov/programs-surveys/popest/tables
geoId/06009,Calaveras County,2020,52.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,46221,https://www2.census.gov/programs-surveys/popest/tables
geoId/06011,Colusa County,2020,35.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,21917,https://www2.census.gov/programs-surveys/popest/tables
geoId/06013,Contra Costa County,2020,39.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,1161413,https://www2.census.gov/programs-surveys/popest/tables
geoId/06015,Del Norte County,2020,40,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,28100,https://www2.census.gov/programs-surveys/popest/tables
geoId/06017,El Dorado County,2020,46.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,193221,https://www2.census.gov/programs-surveys/popest/tables
geoId/06019,Fresno County,2020,32.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,1013581,https://www2.census.gov/programs-surveys/popest/tables
geoId/06021,Glenn County,2020,35.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,28805,https://www2.census.gov/programs-surveys/popest/tables
geoId/06023,Humboldt County,2020,38.9,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,136310,https://www2.census.gov/programs-surveys/popest/tables
