sentence,dcid
Prevalence of current cigarette smoking among adults (%),who/Adult_curr_cig_smokers
Prevalence of current cigarette smoking among adults (%) [Female],who/Adult_curr_cig_smokers_female
Prevalence of current cigarette smoking among adults (%) [Male],who/Adult_curr_cig_smokers_male
