dcid,sentence
dc/topic/ILOEESXTMPRT,"Percentage of Temporary Employees"
dc/topic/ILOEIP5EETRT,"Percentage of Youth Not in Employment, Education or Training NEET, According To Standards Adopted At The 19th International Conference of Labour Statisticians ICLS"
dc/topic/ILOEMP5PIFRT,"Percentage of Employment Outside The Formal Secto, According To Standards Adopted At The 19th International Conference of Labour Statisticians ICLS"
dc/topic/ILOEMPPIFLRT,"Percentage of Employment Outside The Formal Sector"
dc/topic/ILOINJDAYSNB,"Days Lost Due To Number of Cases of Occupational Injury With Temporary Incapacity for Work"
dc/topic/ILOINJFATLNB,"Number of Cases of Fatal Occupational Injury"
dc/topic/ILOINJFATLRT,"Fatal Occupational Injuries Per 100,000 Workers"
dc/topic/ILOINJNFTLNB,"Number of Cases of Non-fatal Occupational Injury"
dc/topic/ILOINJNFTLRT,"Non-fatal Occupational Injuries Per 100,000 Workers"
dc/topic/ILOLAP2LIDRT,"Labour Income Distribution ILO Modelled Estimates"
dc/topic/ILOSTRDAYSNB,"Number of Days Not Worked Due To Strikes And Lockouts"
