dcid,sentence
who/Adult_curr_cig_smokers,Prevalence of current cigarette smoking among adults (%)
who/Adult_curr_cig_smokers_female,Prevalence of current cigarette smoking among adults (%) [Female]
who/Adult_curr_cig_smokers_male,Prevalence of current cigarette smoking among adults (%) [Male]
