entity,date,variable,value,observationPeriod
CCN20001,2023-06-30,Count_Patients_HeartAttack,432,P3Y
CCN20001,2023-06-30,Count_ReturnPatients_HeartAttack,92,P3Y
CCN20001,2023-06-30,Count_Patients_HeartFailure,401,P3Y
CCN20001,2023-06-30,Count_ReturnPatients_HeartFailure,124,P3Y
CCN20001,2023-06-30,Count_Patients_Pneumonia,200,P3Y
CCN20001,2023-06-30,Count_ReturnPatients_Pneumonia,54,P3Y
CCN20006,2023-06-30,Count_Patients_HeartAttack,139,P3Y
CCN20006,2023-06-30,Count_ReturnPatients_HeartAttack,42,P3Y
CCN20006,2023-06-30,Count_Patients_HeartFailure,198,P3Y
CCN20006,2023-06-30,Count_ReturnPatients_HeartFailure,69,P3Y
CCN20006,2023-06-30,Count_Patients_Pneumonia,242,P3Y
CCN20006,2023-06-30,Count_ReturnPatients_Pneumonia,69,P3Y
CCN20008,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN20008,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN20008,2023-06-30,Count_Patients_HeartFailure,45,P3Y
CCN20008,2023-06-30,Count_ReturnPatients_HeartFailure,20,P3Y
CCN20008,2023-06-30,Count_Patients_Pneumonia,39,P3Y
CCN20008,2023-06-30,Count_ReturnPatients_Pneumonia,11,P3Y
CCN20012,2023-06-30,Count_Patients_HeartAttack,75,P3Y
CCN20012,2023-06-30,Count_ReturnPatients_HeartAttack,17,P3Y
CCN20012,2023-06-30,Count_Patients_HeartFailure,103,P3Y
CCN20012,2023-06-30,Count_ReturnPatients_HeartFailure,20,P3Y
CCN20012,2023-06-30,Count_Patients_Pneumonia,107,P3Y
CCN20012,2023-06-30,Count_ReturnPatients_Pneumonia,26,P3Y
CCN20017,2023-06-30,Count_Patients_HeartAttack,140,P3Y
CCN20017,2023-06-30,Count_ReturnPatients_HeartAttack,38,P3Y
CCN20017,2023-06-30,Count_Patients_HeartFailure,198,P3Y
CCN20017,2023-06-30,Count_ReturnPatients_HeartFailure,71,P3Y
CCN20017,2023-06-30,Count_Patients_Pneumonia,186,P3Y
CCN20017,2023-06-30,Count_ReturnPatients_Pneumonia,51,P3Y
CCN20018,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN20018,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN20018,2023-06-30,Count_Patients_HeartFailure,30,P3Y
CCN20018,2023-06-30,Count_ReturnPatients_HeartFailure,4,P3Y
CCN20018,2023-06-30,Count_Patients_Pneumonia,61,P3Y
CCN20018,2023-06-30,Count_ReturnPatients_Pneumonia,4,P3Y
CCN20024,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN20024,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN20024,2023-06-30,Count_Patients_HeartFailure,136,P3Y
CCN20024,2023-06-30,Count_ReturnPatients_HeartFailure,60,P3Y
CCN20024,2023-06-30,Count_Patients_Pneumonia,125,P3Y
CCN20024,2023-06-30,Count_ReturnPatients_Pneumonia,40,P3Y
CCN20026,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN20026,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN20026,2023-06-30,Count_Patients_HeartFailure,125,P3Y
CCN20026,2023-06-30,Count_ReturnPatients_HeartFailure,35,P3Y
CCN20026,2023-06-30,Count_Patients_Pneumonia,145,P3Y
CCN20026,2023-06-30,Count_ReturnPatients_Pneumonia,21,P3Y
CCN21301,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21301,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21301,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21301,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21301,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21301,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21302,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21302,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21302,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21302,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21302,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21302,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21304,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21304,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21304,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21304,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21304,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21304,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21305,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21305,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21305,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21305,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21305,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21305,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21306,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21306,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21306,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21306,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21306,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21306,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21307,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21307,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21307,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21307,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21307,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21307,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21308,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21308,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21308,2023-06-30,Count_Patients_HeartFailure,18,P3Y
CCN21308,2023-06-30,Count_ReturnPatients_HeartFailure,10,P3Y
CCN21308,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21308,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21311,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21311,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21311,2023-06-30,Count_Patients_HeartFailure,28,P3Y
CCN21311,2023-06-30,Count_ReturnPatients_HeartFailure,12,P3Y
CCN21311,2023-06-30,Count_Patients_Pneumonia,54,P3Y
CCN21311,2023-06-30,Count_ReturnPatients_Pneumonia,15,P3Y
CCN21312,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21312,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21312,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21312,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21312,2023-06-30,Count_Patients_Pneumonia,23,P3Y
CCN21312,2023-06-30,Count_ReturnPatients_Pneumonia,8,P3Y
CCN21313,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21313,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21313,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21313,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21313,2023-06-30,Count_Patients_Pneumonia,50,P3Y
CCN21313,2023-06-30,Count_ReturnPatients_Pneumonia,10,P3Y
CCN21314,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21314,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21314,2023-06-30,Count_Patients_HeartFailure,21,P3Y
CCN21314,2023-06-30,Count_ReturnPatients_HeartFailure,5,P3Y
CCN21314,2023-06-30,Count_Patients_Pneumonia,38,P3Y
CCN21314,2023-06-30,Count_ReturnPatients_Pneumonia,7,P3Y
CCN21309,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21309,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
CCN21309,2023-06-30,Count_Patients_HeartFailure,,P3Y
CCN21309,2023-06-30,Count_ReturnPatients_HeartFailure,,P3Y
CCN21309,2023-06-30,Count_Patients_Pneumonia,,P3Y
CCN21309,2023-06-30,Count_ReturnPatients_Pneumonia,,P3Y
CCN21310,2023-06-30,Count_Patients_HeartAttack,,P3Y
CCN21310,2023-06-30,Count_ReturnPatients_HeartAttack,,P3Y
