"city_dcid","city_name","population"
"geoId/3651000","New York","9454995"
"geoId/0644000","Los Angeles","3999742"
"geoId/1714000","Chicago","2896016"
"geoId/4835000","Houston","2390125"
"geoId/2622000","Detroit","1849568"
"geoId/0455000","Phoenix","1708127"
"geoId/4260000","Philadelphia","1603797"
"geoId/4865000","San Antonio","1567118"
"geoId/0666000","San Diego","1425999"
"geoId/4819000","Dallas","1345076"
"geoId/12031","Duval County","1062963"
"geoId/0668000","San Jose","1037082"
"geoId/15003","Honolulu County","1016508"
"geoId/1235000","Jacksonville","1009833"
"geoId/4827000","Fort Worth","1008106"
"geoId/4805000","Austin","995484"
"geoId/3712000","Charlotte","943476"
"geoId/3918000","Columbus","933263"
"geoId/24510","Baltimore","908100"
"geoId/1836003","Indianapolis","891484"
"geoId/0667000","San Francisco","884363"
"geoId/29510","St. Louis","856796"
"geoId/11001","District of Columbia","802178"
"geoId/2507000","Boston","801444"
"geoId/3634000","Hempstead","793409"
"geoId/5363000","Seattle","780995"
"geoId/2148006","Louisville/Jefferson County metro government (balance)","770517"
"geoId/2148000","Louisville","760026"
"geoId/08031","Denver","741591"
"geoId/2404000","Baltimore","736014"
"geoId/0820000","Denver","735538"
"geoId/4055000","Oklahoma City","712919"
"geoId/1150000","Washington","712816"
"geoId/4752006","Nashville-Davidson metropolitan government (balance)","704963"
"geoId/4752000","Nashville","692587"
"geoId/4748000","Memphis","688703"
"geoId/4824000","El Paso","683583"
"geoId/3240000","Las Vegas","678922"
"geoId/4159000","Portland","656751"
"geoId/5553000","Milwaukee","628300"
"geoId/3502000","Albuquerque","564559"
"geoId/0477000","Tucson","554013"
"geoId/0627000","Fresno","550105"
"geoId/1304000","Atlanta","540922"
"geoId/0664000","Sacramento","535798"
"geoId/0446000","Mesa","528159"
"geoId/2938000","Kansas City","516032"
"geoId/3916000","Cleveland","505672"
"geoId/3915000","Cincinnati","503998"
"geoId/3755000","Raleigh","499825"
"geoId/2255000","New Orleans","496938"
"geoId/0816000","Colorado Springs","493554"
"geoId/3137000","Omaha","489265"
"geoId/3610000","Brookhaven","487904"
"geoId/1245000","Miami","487014"
"geoId/0643000","Long Beach","474172"
"geoId/5182000","Virginia Beach","459470"
"geoId/3611000","Buffalo","458000"
"geoId/0653000","Oakland","443554"
"geoId/3451000","Newark","442337"
"geoId/2743000","Minneapolis","434400"
"geoId/72127","San Juan","434374"
"geoId/7276770","San Juan zona urbana","421958"
"geoId/0603526","Bakersfield","417468"
"geoId/4075000","Tulsa","415154"
"geoId/1271000","Tampa","414547"
"geoId/0804000","Aurora","404219"
"geoId/4804000","Arlington","403672"
"geoId/2079000","Wichita","400991"
"geoId/1304204","Augusta","397000"
"geoId/2965000","St. Louis","396685"
"geoId/1517000","Honolulu","395789"
"geoId/1571550","Urban Honolulu","395789"
"geoId/3977000","Toledo","380000"
"geoId/4261000","Pittsburgh","370139"
"geoId/0602000","Anaheim","354006"
"geoId/3231900","Henderson","350039"
"geoId/0669000","Santa Ana","341346"
"geoId/3638000","Islip","339938"
"geoId/1253000","Orlando","334854"
"geoId/0662000","Riverside","331369"
"geoId/2146027","Lexington","329437"
"geoId/4817000","Corpus Christi","327248"
"geoId/0675000","Stockton","324975"
"geoId/0636770","Irvine","318683"
"geoId/2758000","Saint Paul","311527"
"geoId/3728000","Greensboro","307381"
"geoId/3436000","Jersey City","302824"
"geoId/3719000","Durham","301870"
"geoId/02020","Anchorage","301801"
"geoId/0203000","Anchorage municipality","301801"
"geoId/3656000","Oyster Bay","301332"
"geoId/3128000","Lincoln","300619"
"geoId/3251800","North Las Vegas","294034"
"geoId/4858016","Plano","293413"
"geoId/0427400","Gilbert","288790"
"geoId/5548000","Madison","285300"
"geoId/3260600","Reno","281714"
"geoId/0412000","Chandler","281543"
"geoId/0613392","Chula Vista","279170"
