input,dcid,link
Earth,Earth,https://datacommons.org/browser/Earth
country/AUT,country/AUT,https://datacommons.org/browser/country/AUT
country/DNK,country/DNK,https://datacommons.org/browser/country/DNK
country/FIN,country/FIN,https://datacommons.org/browser/country/FIN
country/FRA,country/FRA,https://datacommons.org/browser/country/FRA
country/DEU,country/DEU,https://datacommons.org/browser/country/DEU
country/JPN,country/JPN,https://datacommons.org/browser/country/JPN
country/ESP,country/ESP,https://datacommons.org/browser/country/ESP
country/CHE,country/CHE,https://datacommons.org/browser/country/CHE
country/GBR,country/GBR,https://datacommons.org/browser/country/GBR
