dcid,year,Recruitment_Insights_Applicants,Recruitment_Insights_Accepted_Enrollments,Recruitment_Insights_Opportunity_Score,Recruitment_Insights_Household_Income,Recruitment_Insights_High_Opportunity_Markets,Recruitment_Insights_Avg_Applicants_Per_Region,Recruitment_Insights_Applicants_Per_Capita,Recruitment_Insights_Is_High_Opportunity_Region,Recruitment_Insights_Is_Declining_Interest_Region,Recruitment_Insights_High_Opportunity_Regions_Count,Recruitment_Insights_Declining_Interest_Regions_Count
country/USA,2023,1842,1197,60,61000,3,359,,,10,4
country/USA,2024,1935,1258,62,63200,4,364,,,12,5
country/USA,2025,1842,1197,65,65089,7,390,,,14,6

geoId/04,2023,132,86,82,59000,,,1.72,1,0,,
geoId/04,2024,139,90,85,60000,,,1.83,1,0,,
geoId/04,2025,145,94,87,60855,,,1.95,1,0,,

geoId/06,2023,280,182,66,70000,,,0.72,0,0,,
geoId/06,2024,296,192,69,71500,,,0.75,0,0,,
geoId/06,2025,312,203,72,72800,,,0.79,1,0,,

geoId/12,2023,450,293,63,59000,,,2.04,0,1,,
geoId/12,2024,468,304,66,60200,,,2.12,0,1,,
geoId/12,2025,488,317,69,61200,,,2.20,0,1,,

geoId/17,2023,492,320,68,66000,,,3.80,0,0,,
geoId/17,2024,507,329,70,67200,,,3.95,1,0,,
geoId/17,2025,523,340,73,68500,,,4.10,1,0,,

geoId/32,2023,160,104,41,57000,,,2.45,0,0,,
geoId/32,2024,169,110,45,58000,,,2.55,0,0,,
geoId/32,2025,178,116,48,59000,,,2.70,0,0,,

geoId/36,2023,610,397,70,68000,,,3.10,1,0,,
geoId/36,2024,632,411,72,69100,,,3.22,1,0,,
geoId/36,2025,654,425,75,70200,,,3.36,1,0,,

geoId/39,2023,250,163,64,63000,,,2.10,0,0,,
geoId/39,2024,262,170,67,64200,,,2.22,0,0,,
geoId/39,2025,275,179,70,65500,,,2.35,1,0,,

geoId/41,2023,118,77,50,62000,,,2.85,0,0,,
geoId/41,2024,125,81,54,63000,,,2.95,0,0,,
geoId/41,2025,132,86,58,64000,,,3.10,0,0,,

geoId/48,2023,900,585,74,64000,,,3.00,1,0,,
geoId/48,2024,938,609,78,64900,,,3.10,1,0,,
geoId/48,2025,978,636,81,65800,,,3.25,1,0,,

geoId/53,2023,195,127,68,72000,,,2.55,0,0,,
geoId/53,2024,202,131,71,73500,,,2.66,1,0,,
geoId/53,2025,210,137,74,75100,,,2.76,1,0,,

geoId/38060,2023,130,85,82,59000,,,,1,0,,
geoId/38060,2024,138,90,85,59950,,,,1,0,,
geoId/38060,2025,145,94,87,60855,,,,1,0,,

geoId/19100,2023,480,312,76,58500,,,,1,0,,
geoId/19100,2024,496,322,79,59400,,,,1,0,,
geoId/19100,2025,512,333,82,60210,,,,1,0,,

geoId/26420,2023,395,257,72,56500,,,,1,0,,
geoId/26420,2024,409,266,75,57500,,,,1,0,,
geoId/26420,2025,423,275,78,58500,,,,1,0,,
